id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Blocked Shots_home,Blocked Shots_away,Completed Passes_home,Completed Passes_away,result,Clearances Completed_home,Clearances Completed_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away,Pass Success %_home,Pass Success %_away
zuzM65Qb,09.03.2019 14:00,Al Hazem,Ohod,2,2,47%,53%,16.0,8.0,11.0,4.0,5.0,4.0,15.0,12.0,5.0,12.0,1.0,1.0,28.0,35.0,2.0,9.0,11.0,14.0,,,,,103.0,112.0,56.0,87.0,2.0,2.0,0,0,,,,,D,,,,,,,,
EPoD8Ren,09.03.2019 13:40,Al Fateh,Al Batin,0,2,54%,46%,11.0,6.0,5.0,5.0,6.0,1.0,11.0,11.0,10.0,3.0,3.0,1.0,26.0,18.0,3.0,5.0,8.0,10.0,,,,,124.0,95.0,103.0,53.0,3.0,2.0,0,0,,,,,A,,,,,,,,
bett2suU,08.03.2019 18:30,Al Hilal,Al Wehda,1,1,67%,33%,10.0,4.0,7.0,3.0,3.0,1.0,19.0,18.0,7.0,3.0,4.0,2.0,31.0,20.0,2.0,6.0,14.0,17.0,,,,,111.0,101.0,80.0,61.0,2.0,5.0,0,0,,,,,D,,,,,,,,
jVxY33AH,08.03.2019 18:30,Al Ittihad,Al Feiha,2,0,65%,35%,11.0,5.0,6.0,0.0,5.0,5.0,11.0,17.0,5.0,1.0,1.0,1.0,22.0,18.0,0.0,4.0,16.0,10.0,,,,,75.0,65.0,79.0,44.0,,,0,0,,,,,H,,,,,,,,
4Ytx3NPN,08.03.2019 16:40,Al Nassr,Al Ettifaq,3,2,64%,36%,15.0,9.0,8.0,5.0,7.0,4.0,15.0,11.0,12.0,5.0,0.0,2.0,22.0,17.0,3.0,5.0,11.0,13.0,,,,,120.0,84.0,121.0,59.0,1.0,6.0,0,2,,,,,H,,,,,,,,
dlyI7oBh,08.03.2019 13:40,Al Qadisiya,Al Ahli SC,1,2,47%,53%,8.0,9.0,4.0,5.0,4.0,4.0,12.0,13.0,4.0,4.0,3.0,1.0,16.0,19.0,3.0,3.0,10.0,11.0,,,,,105.0,123.0,65.0,77.0,2.0,1.0,0,0,,,,,A,,,,,,,,
86mT4qeB,07.03.2019 18:30,Al Taawon,Al Raed,2,1,55%,45%,9.0,4.0,4.0,1.0,5.0,3.0,11.0,12.0,17.0,0.0,2.0,1.0,20.0,14.0,0.0,2.0,10.0,10.0,,,,,111.0,84.0,112.0,31.0,4.0,5.0,0,1,,,,,H,,,,,,,,
UFlP5Pu5,07.03.2019 16:40,Al Shabab,Al-Faisaly,2,1,53%,47%,11.0,11.0,6.0,2.0,5.0,9.0,10.0,18.0,4.0,9.0,3.0,0.0,13.0,30.0,1.0,4.0,15.0,10.0,,,,,84.0,99.0,45.0,79.0,3.0,2.0,0,0,,,,,H,,,,,,,,
SYCfjptI,02.03.2019 14:00,Al Hazem,Al Feiha,0,1,46%,54%,8.0,8.0,2.0,5.0,6.0,3.0,22.0,11.0,4.0,6.0,0.0,2.0,20.0,23.0,4.0,2.0,11.0,20.0,,,,,113.0,98.0,84.0,64.0,1.0,3.0,0,0,,,,,A,,,,,,,,
lrEjiQQB,02.03.2019 13:50,Al Batin,Al Wehda,1,1,44%,56%,5.0,7.0,4.0,4.0,1.0,3.0,19.0,16.0,6.0,2.0,1.0,1.0,15.0,25.0,3.0,3.0,15.0,18.0,,,,,,,,,4.0,2.0,0,0,,,,,D,,,,,,,,
