id,date,home_team,away_team,home_goals,away_goals,status,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Blocked Shots_home,Blocked Shots_away,Completed Passes_home,Completed Passes_away,result
lrEjiQQB,02.03.2019 13:50,Al Batin,Al Wehda,1,1,,,,44%,56%,5,7,4,4,1,3,19,16,6,2,1,1,15,25,3,3,15,18,,,,,,,,,4,2,0,0,,,,,D
0Ms997tt,01.03.2019 18:30,Al Ahli SC,Al Ittihad,1,1,,,,51%,49%,7,9,1,5,6,4,12,4,5,5,1,1,22,11,4,0,3,11,,,,,104,86,82,54,1,2,0,0,,,,,D
roBrgnda,01.03.2019 16:35,Al Hilal,Al-Faisaly,2,1,,,,65%,35%,18,4,8,2,10,2,12,11,10,0,2,0,24,18,1,6,9,12,,,,,130,89,104,45,1,1,1,0,,,,,H
fLEnh6B5,01.03.2019 14:00,Al Raed,Al Qadisiya,0,0,,,,42%,58%,11,9,3,1,8,8,14,15,6,5,2,1,10,15,1,3,13,13,,,,,80,120,63,85,3,5,0,0,,,,,D
O063lOAU,28.02.2019 18:30,Al Shabab,Al Nassr,0,1,,,,45%,55%,4,6,2,5,2,1,16,16,6,4,2,0,25,15,4,2,14,16,,,,,96,101,89,64,4,2,0,0,,,,,A
pA7ak4eO,28.02.2019 17:05,Ohod,Al Fateh,0,0,,,,52%,48%,3,3,0,1,3,2,10,16,7,3,4,1,25,17,1,0,12,9,,,,,116,95,88,63,4,4,0,1,,,,,D
0MLwfStg,28.02.2019 14:00,Al Taawon,Al Ettifaq,4,1,,,,53%,47%,9,12,6,7,3,5,16,15,8,3,1,8,13,11,6,2,14,8,,,,,98,78,84,50,1,1,0,0,,,,,H
ERGJlX4D,23.02.2019 18:25,Al Nassr,Al Feiha,1,0,,,,58%,42%,8,9,3,4,5,5,16,11,7,7,0,2,28,13,4,2,11,14,,,,,140,89,109,64,1,5,0,0,,,,,H
GWf2DGsE,23.02.2019 13:55,Al Raed,Al-Faisaly,0,3,,,,49%,51%,13,9,2,7,11,2,14,13,7,6,2,3,21,18,4,2,11,11,,,,,108,104,101,59,0,2,0,0,,,,,A
hdIVelCt,22.02.2019 18:25,Al Wehda,Ohod,4,1,,,,54%,46%,12,9,8,3,4,6,5,16,3,1,1,0,9,12,2,4,15,5,,,,,96,79,68,54,1,3,0,0,,,,,H
61DBjgz1,22.02.2019 16:15,Al Qadisiya,Al Shabab,0,1,,,,46%,54%,6,17,2,7,4,10,11,12,3,8,0,1,10,17,6,2,12,10,,,,,91,94,38,91,4,2,0,0,,,,,A
0OCFkDk7,22.02.2019 13:55,Al Taawon,Al Batin,4,1,,,,51%,49%,17,6,9,3,8,3,17,18,6,3,1,2,15,17,2,5,17,15,,,,,123,84,82,46,2,4,0,0,,,,,H
MVMZf8Rn,21.02.2019 18:25,Al Ittihad,Al Hilal,0,2,,,,36%,64%,6,15,1,7,5,8,17,18,2,6,2,2,17,17,5,1,16,15,,,,,105,131,58,85,2,1,0,0,,,,,A
SAE7iZKf,21.02.2019 13:50,Al Hazem,Al Ettifaq,1,1,,,,40%,60%,5,6,2,3,3,3,11,16,1,5,3,0,18,28,2,1,13,11,,,,,97,127,58,72,1,3,0,0,,,,,D
nacAhF5l,20.02.2019 16:20,Al Fateh,Al Ahli SC,2,1,,,,49%,51%,6,12,5,7,1,5,14,11,8,5,2,1,12,12,6,3,9,13,,,,,80,82,71,77,2,3,0,0,,,,,H
f1IVacDE,15.02.2019 18:20,Al Raed,Al Ittihad,1,1,,,,35%,65%,6,12,3,4,3,8,13,14,5,8,1,5,22,25,3,2,13,8,,,,,80,109,52,107,1,2,0,0,,,,,D
jTBvbyrR,15.02.2019 16:30,Al Shabab,Al Wehda,1,0,,,,35%,65%,3,7,2,2,1,5,9,12,2,4,3,0,21,26,2,1,9,9,,,,,92,127,52,93,2,2,1,0,,,,,H
88b6gejr,14.02.2019 16:35,Al Taawon,Ohod,4,0,,,,56%,44%,12,1,8,1,4,0,12,22,1,4,2,1,19,22,1,4,20,11,,,,,106,98,70,55,0,2,0,0,,,,,H
GAJR0wb8,14.02.2019 13:45,Al Feiha,Al Fateh,1,2,,,,49%,51%,10,11,2,5,8,6,17,23,4,3,3,0,19,22,3,1,20,17,,,,,147,130,67,69,1,3,0,0,,,,,A
xQ7zaHSK,13.02.2019 16:10,Al Ettifaq,Al-Faisaly,3,4,,,,55%,45%,8,11,6,7,2,4,11,16,1,6,0,3,10,19,3,3,16,8,,,,,101,94,49,85,5,0,0,0,,,,,A
l4Ruwz61,13.02.2019 13:50,Al Hazem,Al Batin,1,0,,,,57%,43%,7,3,3,2,4,1,15,27,3,4,2,0,20,18,2,2,25,15,,,,,117,94,70,65,2,0,0,0,,,,,H
SfQqxfL7,12.02.2019 18:20,Al Ahli SC,Al Nassr,1,2,,,,55%,45%,13,5,6,2,7,3,11,14,7,4,1,1,18,21,0,5,13,10,,,,,102,95,80,75,1,2,0,0,,,,,A
6uxyvGje,12.02.2019 16:25,Al Hilal,Al Qadisiya,4,1,,,,63%,37%,9,4,6,1,3,3,15,21,6,0,3,2,21,27,0,2,18,13,,,,,91,88,59,46,2,1,1,0,,,,,H
8fJXvdyk,09.02.2019 18:15,Al Ittihad,Al Taawon,0,0,,,,51%,49%,5,9,3,4,2,5,21,17,2,8,1,0,18,21,4,3,16,21,,,,,88,87,48,66,3,5,0,0,,,,,D
6Rd2PGy2,09.02.2019 16:10,Al Fateh,Al Shabab,1,0,,,,42%,58%,8,4,4,0,4,4,16,14,3,4,1,1,11,21,0,3,13,15,,,,,91,108,60,68,3,2,0,1,,,,,H
MZvkmKT8,09.02.2019 13:50,Al Raed,Al Wehda,1,3,,,,51%,49%,5,10,3,4,2,6,18,8,4,6,2,1,15,7,1,2,6,17,,,,,95,93,69,60,2,2,1,0,,,,,A
GdvgnvqF,08.02.2019 18:15,Al Batin,Al Hilal,2,3,,,,37%,63%,7,8,6,4,1,4,11,9,4,5,0,1,21,24,1,4,8,10,,,,,42,72,24,44,5,0,0,1,,,,,A
8Wzol0E2,08.02.2019 13:45,Al Feiha,Al Ettifaq,1,1,,,,51%,49%,4,11,1,4,3,7,11,14,3,2,2,0,10,10,3,0,12,11,,,,,89,77,66,55,2,1,0,0,,,,,D
fmwcobbL,07.02.2019 18:15,Al Hazem,Al Ahli SC,2,4,,,,46%,54%,11,10,8,4,3,6,18,15,2,6,1,3,16,15,1,6,14,15,,,,,100,74,59,64,4,3,0,0,,,,,A
COX1pIDR,07.02.2019 16:50,Ohod,Al-Faisaly,4,1,,,,46%,54%,12,5,7,1,5,4,12,11,7,7,0,2,14,17,0,3,11,10,,,,,85,90,51,64,4,1,0,0,,,,,H
EXJTuxMr,06.02.2019 18:15,Al Nassr,Al Qadisiya,3,1,,,,59%,41%,7,9,4,3,3,6,13,12,4,4,0,3,21,17,2,1,12,10,,,,,102,144,72,94,1,1,0,0,,,,,H
KAbfRx7k,04.02.2019 18:15,Al Wehda,Al Ittihad,0,2,,,,53%,47%,5,8,2,5,3,3,16,22,4,3,1,0,27,11,3,2,21,16,,,,,92,101,53,53,3,0,0,0,,,,,A
lMKBZ0a9,04.02.2019 16:25,Al Shabab,Al Raed,1,1,,,,56%,44%,14,6,7,1,7,5,19,16,9,3,1,4,22,16,0,6,15,15,,,,,130,109,102,70,3,2,0,0,,,,,D
zwNNWbqS,04.02.2019 16:20,Al Hilal,Al Fateh,4,1,,,,68%,32%,13,6,8,2,5,4,18,12,11,6,1,3,13,18,1,4,11,15,,,,,103,76,82,51,3,3,0,0,,,,,H
MZIJXvUL,03.02.2019 18:15,Ohod,Al Ettifaq,2,1,,,,44%,56%,11,12,6,4,5,8,16,18,6,4,1,2,9,14,3,4,17,14,,,,,83,121,67,88,2,2,1,1,,,,,H
SCJFYKEF,03.02.2019 13:40,Al-Faisaly,Al Hazem,1,2,,,,57%,43%,13,6,2,3,11,3,25,12,5,6,1,3,17,22,1,1,11,22,,,,,130,97,87,70,2,5,0,0,,,,,A
tKajSIiq,02.02.2019 18:15,Al Taawon,Al Nassr,3,1,,,,34%,66%,7,5,5,2,2,3,20,27,2,4,4,4,20,30,1,2,23,16,,,,,114,148,66,89,1,0,0,0,,,,,H
SzbbQdMe,02.02.2019 16:15,Al Batin,Al Ahli SC,1,2,,,,47%,53%,8,11,4,7,4,4,12,15,3,8,1,2,8,17,5,3,14,10,,,,,59,89,38,55,1,0,0,0,,,,,A
WpQ6zsp3,02.02.2019 13:20,Al Qadisiya,Al Feiha,2,0,,,,57%,43%,9,5,6,0,3,5,14,16,4,2,4,2,21,20,0,4,12,12,,,,,97,94,67,45,0,3,0,1,,,,,H
SGZGDJxj,29.01.2019 18:20,Al Ittihad,Al Shabab,0,0,,,,55%,45%,7,5,2,3,5,2,14,15,5,2,1,1,9,19,3,2,14,13,,,,,117,122,66,58,2,0,0,0,,,,,D
E9gtKLaM,29.01.2019 16:25,Al Raed,Al Ettifaq,1,2,,,,49%,51%,9,8,4,5,5,3,21,10,4,5,0,1,17,15,3,3,10,20,,,,,83,87,91,54,1,4,0,0,,,,,A
rqbpJuFS,28.01.2019 18:20,Al Taawon,Al Ahli SC,3,4,,,,48%,52%,10,15,7,8,3,7,15,15,3,3,3,2,11,13,4,4,12,13,,,,,102,91,73,54,0,1,0,0,,,,,A
zJfxL1pG,28.01.2019 16:50,Al Wehda,Al Hazem,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,D
hfR2yNUd,28.01.2019 16:20,Al Nassr,Ohod,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
viwLCwhd,28.01.2019 13:30,Al Batin,Al-Faisaly,2,0,,,,38%,62%,9,9,5,5,4,4,12,8,3,6,0,0,17,19,5,3,8,12,,,,,,,,,2,1,0,1,,,,,H
