id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Pass Success %_home,Pass Success %_away,Completed Passes_home,Completed Passes_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,result
CEdlJr5a,23.02.2021 16:20,Al Fateh,Al Ettifaq,2,3,49%,51%,18,16,6,7,5,5,7,4,3,2,2,2,4,4,24,20,1,4,348,377,21,36,80,70,56,33,0,0,,,,,,,,,A
IicpKOkg,23.02.2021 14:10,Al Ain,Damac,1,1,50%,50%,17,8,4,3,10,3,3,2,3,6,1,4,2,3,15,18,2,2,362,353,11,13,100,96,54,55,0,0,,,,,,,,,D
4lgtL4zm,23.02.2021 13:45,Al Batin,Al Qadisiya,2,2,42%,58%,10,14,5,6,3,6,2,2,0,5,2,5,4,3,17,14,0,2,346,480,12,18,86,108,38,46,0,0,,,,,,,,,D
MP3yMpLt,22.02.2021 18:35,Al Shabab,Al Ahli SC,3,0,54%,46%,8,15,4,4,3,8,1,3,1,6,0,1,4,1,16,17,2,2,544,447,15,22,67,76,22,37,0,0,,,,,,,,,H
KGH9QQCP,22.02.2021 17:00,Al Wehda,Al Taawon,0,2,63%,37%,11,7,4,3,2,2,5,2,6,2,1,1,1,4,12,17,3,4,484,283,13,21,70,58,39,28,0,0,,,,,,,,,A
W0OR1szP,22.02.2021 14:10,Abha,Al Raed,0,3,65%,35%,14,7,3,4,8,2,3,1,5,0,0,2,1,3,9,12,2,1,531,302,14,16,127,71,80,32,0,0,,,,,,,,,A
hAPN2NKI,18.02.2021 18:20,Al Hilal,Al Ettifaq,3,1,57%,43%,29,7,8,2,15,5,6,0,10,4,1,1,1,5,17,7,1,0,538,401,15,12,108,106,82,53,0,0,,,,,,,,,H
AozJ335C,18.02.2021 16:10,Al Qadisiya,Al Nassr,1,0,39%,61%,9,19,3,7,3,8,3,4,4,9,2,3,7,2,16,9,8,1,287,431,17,14,80,98,47,88,1,0,,,,,,,,,H
C0HF4qj6,18.02.2021 13:55,Al Taawon,Al Ittihad,1,2,42%,58%,12,12,4,2,5,9,3,1,3,8,0,1,1,3,12,15,2,0,353,478,23,6,83,80,47,49,0,0,,,,,,,,,A
IwIB5Pz0,18.02.2021 13:50,Al-Faisaly,Damac,2,0,51%,49%,9,18,6,7,1,6,2,5,1,9,0,1,7,4,9,10,1,3,555,507,23,23,81,91,30,60,0,0,,,,,,,,,H
vmJ765Lg,17.02.2021 18:20,Al Ahli SC,Al Ain,1,1,58%,42%,12,10,4,5,4,3,4,2,7,4,3,1,4,3,12,16,0,3,470,344,18,19,99,84,79,54,0,0,,,,,,,,,D
MBO27o6m,17.02.2021 16:25,Al Shabab,Al Fateh,1,2,63%,37%,11,13,5,6,4,5,2,2,8,6,0,3,4,4,14,7,1,0,557,316,7,8,75,81,57,53,0,0,,,,,,,,,A
rLPb8Rjs,17.02.2021 14:05,Abha,Al Batin,1,2,56%,44%,16,10,4,5,10,3,2,2,8,7,4,0,3,3,8,12,2,2,407,327,10,10,79,65,39,21,0,0,,,,,,,,,A
QuwXC7rQ,17.02.2021 13:55,Al Raed,Al Wehda,1,3,53%,47%,10,8,6,5,3,3,1,0,3,1,3,2,2,5,18,13,1,4,425,364,20,18,69,72,47,43,0,0,,,,,,,,,A
CxZSDmTJ,14.02.2021 14:05,Damac,Al Hilal,1,0,19%,81%,9,12,5,4,3,5,1,3,2,10,3,3,4,4,11,10,3,1,189,802,15,4,60,92,28,58,0,0,,,,,,,,,H
AXfpk4jJ,13.02.2021 18:20,Al Nassr,Al Shabab,0,4,54%,46%,17,10,1,7,12,2,4,1,5,2,2,3,3,1,16,21,4,5,512,445,11,10,89,66,42,32,0,0,,,,,,,,,A
WtdtjpyD,13.02.2021 16:10,Al Fateh,Al Ain,3,2,54%,46%,13,13,6,5,4,3,3,5,4,2,7,0,3,3,20,16,3,3,347,300,10,12,72,72,46,25,0,0,,,,,,,,,H
OGdxiQL6,13.02.2021 13:50,Al Taawon,Al Qadisiya,0,2,53%,47%,19,12,4,5,11,5,4,2,10,3,4,0,3,4,20,14,2,0,358,328,16,10,92,100,59,44,0,0,,,,,,,,,A
pQcYi660,12.02.2021 16:30,Al Raed,Al Batin,1,2,68%,32%,18,12,8,2,8,8,2,2,10,2,1,1,1,7,12,11,3,3,553,271,12,19,84,52,43,20,0,0,,,,,,,,,A
218Thnif,12.02.2021 13:45,Al-Faisaly,Al Wehda,2,4,65%,35%,16,6,4,4,5,0,7,2,7,4,1,3,0,2,10,18,2,3,482,256,10,11,95,74,51,30,0,0,,,,,,,,,A
lb4PgSyl,11.02.2021 18:20,Al Ahli SC,Al Ittihad,1,1,40%,60%,13,22,4,3,6,8,3,11,3,4,0,0,2,3,16,10,4,0,357,536,12,12,73,82,40,52,0,0,,,,,,,,,D
