id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Throw-ins_home,Throw-ins_away,Pass Success %_home,Pass Success %_away,result
buvKwqlo,19.03.2016 15:00,Modena,Como,1,2,45%,55%,7,8,2,4,5,4,14,16,4,5,2,2,2,1,14,12,0,0,3,4,,,,,A
0pI22SQo,19.03.2016 15:00,Novara,Bari,1,2,45%,55%,16,8,7,4,9,4,15,17,7,4,0,4,2,6,17,11,1,1,4,4,,,,,A
CKL61nth,19.03.2016 15:00,Perugia,Salernitana,1,1,49%,51%,3,10,1,4,2,6,16,15,3,7,1,2,3,0,14,14,0,0,3,3,,,,,D
SfxmHWkt,19.03.2016 15:00,Pro Vercelli,Ascoli,1,1,54%,46%,9,2,3,2,6,0,14,15,9,2,4,0,1,2,11,14,0,1,4,6,,,,,D
6sLA06eb,19.03.2016 15:00,Trapani,Livorno,1,0,58%,42%,13,6,7,5,6,1,24,18,9,4,2,3,5,6,16,21,0,0,3,5,,,,,H
MHyiGj5n,18.03.2016 20:30,Entella,Spezia,2,2,53%,47%,6,7,4,4,2,3,27,16,2,2,1,2,2,2,15,25,0,0,1,3,,,,,D
OlnJVodO,14.03.2016 20:30,Cagliari,Perugia,0,2,57%,43%,14,6,6,3,8,3,10,13,13,2,3,0,1,6,10,10,0,0,2,3,,,,,A
hveyn7t5,13.03.2016 17:30,L.R. Vicenza,Trapani,1,2,46%,54%,12,8,7,4,5,4,18,17,9,4,2,0,2,6,15,18,1,0,6,2,,,,,A
n1KvDKwP,12.03.2016 15:00,Ascoli,Avellino,3,4,51%,49%,12,7,9,5,3,2,19,10,11,2,2,0,1,6,8,19,0,0,2,2,,,,,A
2ZcAX7RB,12.03.2016 15:00,Bari,Pro Vercelli,6,2,49%,51%,11,10,9,6,2,4,14,8,7,8,1,3,4,3,7,11,0,0,1,2,,,,,H
xhjNU5BU,12.03.2016 15:00,Como,Cesena,1,3,47%,53%,8,16,3,7,5,9,22,22,3,5,5,0,4,2,17,22,0,0,3,5,,,,,A
jZpLLCsP,12.03.2016 15:00,Livorno,Entella,0,0,48%,52%,11,9,4,1,7,8,21,23,8,3,2,2,1,4,21,19,1,1,5,4,,,,,D
EDRSkkst,12.03.2016 15:00,Pescara,Novara,1,2,56%,44%,10,5,4,4,6,1,23,21,7,2,5,1,2,3,16,22,0,0,2,4,,,,,A
h4QWl9dn,12.03.2016 15:00,Salernitana,Lanciano,1,3,54%,46%,18,6,8,3,10,3,22,20,5,2,1,1,0,7,19,21,0,0,1,4,,,,,A
KQdTmTBh,12.03.2016 15:00,Spezia,Modena,2,0,56%,44%,17,2,12,1,5,1,19,22,2,4,1,0,1,10,21,19,0,0,4,2,,,,,H
bHeXnmRb,12.03.2016 15:00,Ternana,Latina,0,0,47%,53%,5,4,2,0,3,4,19,20,1,1,2,1,0,2,18,18,0,0,2,4,,,,,D
tQdEWRtI,11.03.2016 20:30,Brescia,Crotone,3,0,51%,49%,13,7,6,3,7,4,20,22,3,6,6,5,3,3,16,15,0,1,4,6,,,,,H
lWXzJ8CI,07.03.2016 20:30,Cesena,Salernitana,1,2,50%,50%,10,10,2,4,8,6,24,20,8,4,2,2,2,1,18,22,1,0,5,5,,,,,A
6m2kxWCt,06.03.2016 17:30,Modena,Livorno,1,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,H
f9f2ZTda,05.03.2016 17:00,Pro Vercelli,Pescara,5,2,53%,47%,12,11,10,6,2,5,9,17,9,5,3,1,4,5,14,8,0,1,3,0,,,,,H
f9YWJlcC,05.03.2016 15:00,Avellino,Spezia,0,1,57%,43%,9,11,2,4,7,7,19,12,13,1,0,1,3,2,12,18,0,0,1,1,,,,,A
0pMWEt9C,05.03.2016 15:00,Crotone,Ascoli,2,0,52%,48%,9,2,3,0,6,2,22,25,3,0,2,2,0,1,23,20,0,0,2,2,,,,,H
