id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,result
8G8S1Tji,03.04.2022 15:30,Brescia,L.R. Vicenza,2,0,56%,44%,23,5,8,2,11,3,4,0,5,3,0,2,2,6,8,10,0,0,0,1,488,392,409,312,18,19,117,99,53,31,,,,,H
GtCz07L3,03.04.2022 15:30,Como,Monza,2,0,38%,62%,6,17,4,2,2,11,0,4,3,13,0,0,2,2,11,18,0,0,2,2,290,451,191,373,15,6,81,118,25,95,,,,,H
C85qbojG,03.04.2022 15:30,Crotone,Perugia,1,1,51%,49%,15,9,7,5,5,3,3,1,6,3,2,5,4,6,25,15,0,0,3,4,352,335,245,224,14,16,105,87,51,38,,,,,D
6BUqwpEj,02.04.2022 16:15,Benevento,Pisa,5,1,47%,53%,15,13,8,7,4,3,3,3,4,12,2,3,6,3,7,15,0,0,0,3,347,384,272,292,23,11,89,91,30,52,,,,,H
ML7CehUH,02.04.2022 14:00,Alessandria,Spal,2,2,44%,56%,7,14,2,6,5,7,0,1,5,5,2,3,4,0,12,23,0,0,2,4,280,361,164,251,16,18,88,123,25,67,,,,,D
SKVuvQbp,02.04.2022 14:00,Ascoli,Pordenone,1,0,54%,46%,14,8,3,3,9,5,2,0,3,7,0,2,3,2,18,11,0,0,1,2,441,370,345,269,19,17,128,85,72,42,,,,,H
MJCW0m6c,02.04.2022 14:00,Cittadella,Ternana,1,2,60%,40%,10,8,4,4,4,4,2,0,6,4,0,7,2,3,19,18,0,0,4,5,448,299,300,173,12,23,122,106,45,51,,,,,A
SIC3l7ul,02.04.2022 14:00,Cosenza,Parma,1,3,45%,55%,17,6,4,5,9,1,4,0,7,4,0,0,2,3,14,18,0,0,2,4,376,476,296,403,24,8,89,116,50,37,,,,,A
fXAvaRzA,02.04.2022 14:00,Cremonese,Reggio Calabria,1,1,47%,53%,15,12,4,3,8,3,3,6,2,7,0,5,2,3,12,16,1,0,3,4,362,396,258,295,28,15,92,118,51,49,,,,,D
ja4mc55M,02.04.2022 14:00,Lecce,Frosinone,1,0,50%,50%,10,4,3,0,4,2,3,2,5,1,1,2,0,2,19,18,0,0,4,5,390,401,282,278,28,12,98,108,36,44,,,,,H
n3Fabfpa,20.03.2022 16:15,Pordenone,Brescia,1,1,38%,62%,8,16,3,3,3,8,2,5,1,9,1,2,2,2,14,18,0,0,3,1,324,530,195,405,13,25,117,130,38,78,,,,,D
