id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,result
jP7rkcX8,14.04.2015 18:00,Frosinone,Latina,1,0,54%,46%,6,11,3,3,3,8,23,20,3,3,2,0,25,31,3,2,0,2,7,3,H
pMam59N6,13.04.2015 20:30,Perugia,Varese,2,0,61%,39%,10,1,2,0,8,1,22,15,8,3,0,2,23,21,0,0,0,0,1,2,H
CEC0ED0K,11.04.2015 15:00,Bari,Crotone,1,1,53%,47%,21,3,10,2,11,1,24,21,11,2,0,0,22,7,1,9,0,1,4,3,D
p8KEjA8D,11.04.2015 15:00,Brescia,Bologna,1,1,56%,44%,12,8,5,5,7,3,17,14,5,3,3,3,28,25,4,4,0,1,1,3,D
6V0q6k80,11.04.2015 15:00,Catania,Trapani,4,1,51%,49%,18,7,10,5,8,2,18,16,7,2,2,2,23,28,4,6,0,1,2,3,H
YNDdFgoE,11.04.2015 15:00,Cittadella,AC Carpi,0,1,52%,48%,14,11,5,7,9,4,19,16,9,7,0,2,22,16,6,5,0,0,3,3,A
A37z8Bwl,11.04.2015 15:00,Frosinone,Pescara,2,1,51%,49%,12,9,7,6,5,3,20,20,1,4,1,0,24,29,5,5,0,0,3,3,H
fw25DXFQ,11.04.2015 15:00,Lanciano,Latina,1,1,52%,48%,17,12,8,4,9,8,17,14,5,5,3,0,32,27,3,7,0,1,4,4,D
vqai4TxD,11.04.2015 15:00,Modena,Entella,2,0,51%,49%,11,5,5,2,6,3,18,22,5,4,0,0,42,24,2,3,1,0,1,1,H
Gt8W8iOs,11.04.2015 15:00,Pro Vercelli,Livorno,3,3,56%,44%,8,15,4,9,4,6,23,22,8,4,2,0,26,20,6,1,0,1,3,4,D
lf6v7Vhf,11.04.2015 15:00,Spezia,Ternana,0,1,58%,42%,10,12,4,4,6,8,13,10,6,3,2,1,30,26,3,4,0,0,2,3,A
hhtYs10p,10.04.2015 20:30,L.R. Vicenza,Avellino,1,0,57%,43%,6,10,2,3,4,7,20,16,0,1,1,2,27,32,3,1,0,0,2,4,H
GSScfh9l,02.04.2015 20:30,Avellino,Modena,1,0,54%,46%,12,10,6,5,6,5,17,22,9,5,0,1,27,21,5,5,0,0,2,2,H
OhW5hWw1,02.04.2015 20:30,Crotone,Spezia,2,0,53%,47%,9,10,4,1,5,9,17,21,3,4,2,1,29,26,1,2,0,1,3,5,H
AkS1gCOf,02.04.2015 20:30,Entella,Perugia,0,2,47%,53%,9,11,2,5,7,6,19,15,4,6,2,0,21,23,3,2,0,0,4,3,A
Y7PYaEoR,02.04.2015 20:30,Latina,Cittadella,3,2,56%,44%,12,10,8,6,4,4,25,24,3,3,0,1,32,23,4,5,0,1,1,3,H
6HLAijg7,02.04.2015 20:30,Livorno,Lanciano,1,0,48%,52%,16,11,5,7,11,4,15,27,6,7,2,2,18,22,7,4,0,0,0,3,H
0fRQ1zHE,02.04.2015 20:30,Pescara,Brescia,2,3,48%,52%,16,18,10,9,6,9,15,14,10,8,1,0,28,26,6,8,0,1,2,2,A
zDg6nshT,02.04.2015 20:30,Pro Vercelli,L.R. Vicenza,1,1,39%,61%,10,10,4,6,6,4,13,26,3,6,1,0,17,29,5,3,0,0,2,4,D
pnqvvXO7,02.04.2015 20:30,Ternana,Bari,2,0,47%,53%,9,7,3,4,6,3,12,23,6,5,1,3,30,39,4,1,0,0,4,0,H
xxUgeYgr,02.04.2015 20:30,Trapani,Frosinone,3,1,54%,46%,13,9,7,6,6,3,19,16,4,7,0,0,20,24,5,4,0,1,4,5,H
fHQU0fWK,02.04.2015 20:30,Varese,Catania,0,3,46%,54%,9,6,2,3,7,3,18,25,5,2,0,2,25,21,0,2,0,1,1,3,A
niNM2G18,01.04.2015 20:30,AC Carpi,Bologna,3,0,37%,63%,11,13,7,4,4,9,13,23,3,3,1,1,26,17,4,4,0,1,2,2,H
bVtStZvk,29.03.2015 20:30,Brescia,Trapani,1,1,49%,51%,9,11,6,7,3,4,14,22,7,4,0,1,23,23,6,5,1,0,2,2,D
tE0eneHR,29.03.2015 15:00,Bari,Pro Vercelli,1,0,58%,42%,15,7,10,6,5,1,25,18,7,4,0,0,26,16,6,9,1,0,6,4,H
bVKdRgu2,29.03.2015 15:00,Catania,Avellino,1,0,50%,50%,7,19,2,12,5,7,21,25,5,3,1,2,33,26,12,1,0,0,4,6,H
G6iNsFPr,29.03.2015 15:00,Cittadella,Ternana,0,0,55%,45%,10,13,8,7,2,6,16,16,6,4,3,2,34,20,7,8,0,0,2,1,D
6epzuD91,29.03.2015 15:00,Lanciano,Entella,1,0,58%,42%,8,4,6,3,2,1,16,17,8,1,0,2,29,29,3,5,0,0,1,2,H
xMuWugfe,29.03.2015 15:00,Modena,Varese,1,1,56%,44%,21,5,10,2,11,3,17,15,6,6,1,0,27,17,1,9,0,0,1,7,D
CY8vjwI2,29.03.2015 12:30,Perugia,Crotone,0,0,51%,49%,5,5,2,2,3,3,18,15,6,6,1,1,23,35,2,2,0,0,4,1,D
dMf2mNxN,28.03.2015 18:00,L.R. Vicenza,AC Carpi,1,2,33%,67%,8,7,1,5,7,2,14,15,7,0,1,2,31,30,3,4,0,0,4,3,A
802mlHnF,28.03.2015 15:00,Bologna,Livorno,2,0,55%,45%,12,9,4,4,8,5,18,8,6,3,2,0,19,24,4,2,0,0,0,2,H
ni1imy2L,28.03.2015 15:00,Spezia,Pescara,2,2,58%,42%,9,6,5,3,4,3,30,14,5,4,0,1,24,24,1,3,1,0,4,3,D
W2kHoOQG,23.03.2015 20:30,Varese,Frosinone,1,4,36%,64%,8,15,3,8,5,7,21,20,2,2,0,3,8,35,4,2,1,0,4,1,A
OCSqUeeq,21.03.2015 15:00,Avellino,Perugia,1,2,47%,53%,8,14,4,7,4,7,14,16,5,5,2,1,22,21,5,3,1,0,5,1,A
2Nc0k6Ri,21.03.2015 15:00,Crotone,Brescia,2,1,47%,53%,12,10,9,7,3,3,19,15,6,7,1,1,23,30,6,7,1,0,0,3,H
Am18mpd4,21.03.2015 15:00,Entella,Catania,2,0,46%,54%,9,11,5,2,4,9,28,18,0,9,3,4,23,39,2,3,0,1,2,4,H
23RmTFAk,21.03.2015 15:00,Latina,Spezia,1,2,59%,41%,18,10,7,6,11,4,20,20,9,2,0,1,35,18,4,6,0,0,5,4,A
hCjDn4BA,21.03.2015 15:00,Livorno,Cittadella,0,1,50%,50%,8,3,2,1,6,2,16,19,4,3,1,0,23,19,0,2,1,0,3,3,A
vo0cl3NG,21.03.2015 15:00,Modena,L.R. Vicenza,1,2,43%,57%,7,9,2,4,5,5,15,22,2,3,3,1,23,27,2,1,0,0,3,2,A
pSGhSZPe,21.03.2015 15:00,Pro Vercelli,Lanciano,2,1,51%,49%,9,7,4,3,5,4,18,16,5,3,2,2,25,25,2,2,0,0,2,4,H
dpc4lQtb,21.03.2015 15:00,Ternana,AC Carpi,0,1,56%,44%,10,9,4,5,6,4,19,20,4,6,2,3,38,21,4,4,0,0,2,3,A
OWbdjnCo,21.03.2015 15:00,Trapani,Bologna,0,0,57%,43%,14,6,6,0,8,6,19,11,9,4,1,3,33,24,0,6,0,0,3,4,D
nFFDR2Zp,20.03.2015 20:30,Pescara,Bari,0,0,45%,55%,7,13,3,4,4,9,22,15,2,6,0,2,20,32,4,3,0,0,2,3,D
0f1gkq8A,16.03.2015 20:30,L.R. Vicenza,Catania,0,0,60%,40%,9,3,6,2,3,1,20,10,1,1,3,2,33,27,2,6,0,0,1,3,D
lKXQz7Cb,15.03.2015 15:00,Bologna,Modena,0,0,55%,45%,17,5,4,2,13,3,16,17,4,2,2,4,26,27,2,4,0,0,3,5,D
IgxVZQR4,14.03.2015 15:00,AC Carpi,Pescara,1,2,52%,48%,11,9,5,5,6,4,23,19,8,3,0,0,31,34,3,4,0,0,3,6,A
jqUsXOBN,14.03.2015 15:00,Bari,Varese,3,0,60%,40%,9,1,6,0,3,1,28,24,3,1,2,2,25,25,0,3,0,0,2,2,H
S4qIxTsn,14.03.2015 15:00,Brescia,Latina,1,2,50%,50%,9,10,5,5,4,5,21,18,4,3,0,1,18,28,3,4,0,0,3,4,A
E1uEw9Su,14.03.2015 15:00,Cittadella,Crotone,0,0,51%,49%,13,7,4,4,9,3,23,23,2,5,2,0,38,22,4,4,0,0,2,2,D
p6ToWrRT,14.03.2015 15:00,Frosinone,Entella,3,3,52%,48%,18,14,9,8,9,6,15,28,12,2,0,1,23,22,5,6,2,1,5,1,D
xt48IPdU,14.03.2015 15:00,Lanciano,Avellino,1,0,55%,45%,9,8,5,2,4,6,18,14,9,4,0,0,16,31,2,4,0,0,2,4,H
dpyZYpsB,14.03.2015 15:00,Perugia,Pro Vercelli,3,2,49%,51%,13,5,9,4,4,1,18,20,2,4,0,1,16,40,2,6,0,0,3,2,H
v9QwY4dH,14.03.2015 15:00,Trapani,Ternana,4,2,56%,44%,10,10,7,7,3,3,14,15,7,5,0,2,36,25,5,3,0,0,3,4,H
ATYMymch,13.03.2015 20:30,Spezia,Livorno,3,0,47%,53%,15,3,5,2,10,1,13,18,8,5,3,1,14,17,2,2,0,0,3,2,H
hYF5gc64,10.03.2015 18:30,Modena,Catania,0,0,53%,47%,9,12,4,5,5,7,19,11,5,4,1,3,22,21,5,4,1,0,2,2,D
lbdjOTSh,09.03.2015 20:30,Entella,Cittadella,2,1,61%,39%,9,15,5,8,4,7,16,14,1,6,0,1,28,29,7,3,0,0,2,3,H
xKSX5nDO,07.03.2015 18:00,Avellino,Bari,2,0,56%,44%,18,11,11,6,7,5,21,18,8,5,1,0,25,22,6,9,0,0,2,2,H
pQkaM7c5,07.03.2015 15:00,Catania,Spezia,2,2,47%,53%,17,14,14,6,3,8,13,13,8,6,2,1,18,17,4,12,0,0,3,3,D
Iwl7KoSH,07.03.2015 15:00,Crotone,Trapani,1,0,50%,50%,12,6,4,3,8,3,18,24,7,9,1,2,20,31,3,3,0,0,2,3,H
A7cnP9Dn,07.03.2015 15:00,Latina,AC Carpi,0,1,61%,39%,8,7,2,4,6,3,20,22,9,4,2,2,33,29,3,2,0,0,2,3,A
vmk3LRCB,07.03.2015 15:00,Livorno,Ternana,3,1,52%,48%,18,9,9,3,9,6,14,16,8,2,2,0,25,26,2,6,0,0,2,2,H
WMoeNmra,07.03.2015 15:00,Modena,Frosinone,1,0,49%,51%,9,13,5,4,4,9,20,25,3,4,5,3,22,25,4,4,0,0,2,3,H
bk54J5sO,07.03.2015 15:00,Perugia,Lanciano,0,0,57%,43%,2,5,1,3,1,2,22,24,2,1,5,3,25,23,3,1,0,0,1,3,D
6X1kjPh4,07.03.2015 15:00,Pescara,L.R. Vicenza,2,2,,,,,,,,,,,,,,,,,,,0,0,,,D
tYhrQkbt,07.03.2015 15:00,Pro Vercelli,Brescia,0,0,42%,58%,5,14,2,11,3,3,13,25,1,4,5,1,29,27,11,2,0,0,1,4,D
vP6GUVkP,07.03.2015 15:00,Varese,Bologna,1,3,37%,63%,3,20,1,11,2,9,18,14,3,10,2,0,13,28,8,0,0,0,3,4,A
jkkig9TI,03.03.2015 20:30,AC Carpi,Avellino,2,0,48%,52%,13,10,5,6,8,4,15,26,5,9,1,1,26,27,6,3,0,0,3,2,H
IewZHh6J,03.03.2015 20:30,Bari,Catania,1,1,57%,43%,13,6,9,4,4,2,24,17,4,3,0,0,22,18,3,8,0,0,3,1,D
