id,date,home_team,away_team,home_goals,away_goals,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Ball Possession_home,Ball Possession_away,Completed Passes_home,Completed Passes_away,Throw-ins_home,Throw-ins_away,result
8lntRsQJ,07.04.2019 21:00,Cosenza,Crotone,1,0,11,3,5,1,6,2,22,19,5,7,4,7,1,4,15,16,1,1,2,3,312,581,16,5,81,128,59,93,,,,,,,H
vwQOIJXa,07.04.2019 15:00,Ascoli,Pescara,2,1,15,8,3,3,12,5,13,16,6,2,3,1,2,1,13,12,0,0,3,0,499,378,9,7,119,106,62,60,,,,,,,H
hMNCLLms,07.04.2019 15:00,Cremonese,Lecce,2,0,11,8,5,1,6,7,9,19,5,6,1,3,1,3,18,6,0,1,2,2,376,509,0,10,60,71,49,50,,,,,,,H
trbb2bmJ,06.04.2019 18:00,Perugia,Benevento,2,4,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,A
0nRKJaIg,06.04.2019 15:00,AC Carpi,Padova,2,1,13,14,3,8,10,6,20,16,4,8,1,1,7,1,15,19,0,0,2,3,349,425,23,12,127,109,53,51,,,,,,,H
6PRGKu3m,06.04.2019 15:00,Cittadella,Livorno,4,0,16,5,7,0,9,5,18,15,2,0,2,4,0,3,13,14,0,1,1,3,651,313,13,0,131,76,63,22,,,,,,,H
dEKTHwm6,06.04.2019 15:00,Foggia,Spezia,1,0,18,6,5,2,13,4,16,13,8,5,2,2,2,4,11,14,0,0,2,4,521,470,12,18,128,94,41,37,,,,,,,H
z5JXGc2C,05.04.2019 21:00,Brescia,Venezia,2,0,11,15,3,2,8,13,16,24,6,11,1,1,2,1,23,15,0,0,2,3,388,473,9,14,108,98,46,50,,,,,,,H
6P5o5030,03.04.2019 21:00,Pescara,Palermo,3,2,13,18,7,10,6,8,17,16,4,11,4,0,8,4,12,17,0,0,3,2,431,446,2,12,134,115,44,52,,,,,,,H
YB7w7MYm,03.04.2019 19:00,Lecce,Cosenza,3,1,13,12,6,4,7,8,13,13,5,3,5,0,3,3,8,11,0,0,,,579,371,,,102,101,52,34,,,,,,,H
ERQ6CrBQ,02.04.2019 21:00,Benevento,AC Carpi,3,1,13,10,3,2,10,8,19,13,5,5,1,2,1,0,12,17,0,0,1,1,439,329,10,5,123,122,46,40,,,,,,,H
KS9k4KI6,02.04.2019 21:00,Crotone,Perugia,2,0,5,8,3,2,2,6,21,15,6,5,0,9,2,1,14,15,0,0,2,1,468,531,3,0,102,114,46,44,,,,,,,H
C26s6tlf,02.04.2019 21:00,Livorno,Cremonese,1,3,14,14,7,8,7,6,11,22,7,4,6,0,5,6,15,10,0,0,3,4,528,323,4,0,138,117,82,55,,,,,,,A
MJ8aE4tE,02.04.2019 21:00,Padova,Ascoli,1,2,17,10,4,2,13,8,16,5,2,4,0,0,0,3,6,15,0,0,,,579,396,12,4,137,111,51,35,,,,,,,A
2iaf3vYC,02.04.2019 21:00,Spezia,Salernitana,2,1,15,6,3,1,12,5,18,10,1,6,0,4,0,1,10,14,0,0,1,2,648,328,5,9,117,119,46,40,,,,,,,H
GzDY72Js,02.04.2019 21:00,Venezia,Cittadella,1,1,3,12,1,3,2,9,16,22,6,6,4,0,2,0,18,16,0,0,1,1,311,580,32,11,86,140,45,81,,,,,,,D
K4R2DOeK,02.04.2019 21:00,Verona,Brescia,2,2,17,13,5,8,12,5,18,12,5,6,2,1,6,3,10,17,0,0,2,3,449,344,11,10,111,100,57,45,,,,,,,D
tOVCj1l7,31.03.2019 21:00,Lecce,Pescara,2,0,15,4,7,2,8,2,22,20,6,3,3,2,2,5,18,20,0,1,1,2,466,489,6,8,116,96,42,43,,,,,,,H
KjnUbPtR,30.03.2019 18:00,Brescia,Foggia,2,1,20,18,5,5,15,13,16,19,5,5,8,2,4,3,10,15,0,0,3,3,479,485,10,0,124,105,53,33,,,,,,,H
t0mQa5RK,30.03.2019 15:00,AC Carpi,Crotone,1,2,14,8,7,3,7,5,15,18,9,5,6,2,1,6,13,14,1,0,1,1,347,548,19,0,121,89,52,62,,,,,,,A
0lWS0oCE,30.03.2019 15:00,Ascoli,Benevento,2,2,6,7,2,3,4,4,28,26,3,3,5,2,1,0,23,27,0,2,7,6,223,424,7,1,71,109,46,36,,,,,,,D
YcS4hNJf,30.03.2019 15:00,Cittadella,Padova,1,1,13,8,8,4,5,4,12,21,9,3,3,3,3,7,18,12,0,1,2,4,460,300,19,0,137,88,70,36,,,,,,,D
ClR8isZ0,30.03.2019 15:00,Cosenza,Palermo,1,1,12,6,4,2,8,4,27,14,3,1,1,5,1,3,14,23,0,1,2,7,467,475,10,14,122,127,45,44,,,,,,,D
jZx0g34l,30.03.2019 15:00,Perugia,Livorno,3,1,16,10,8,2,8,8,19,19,5,4,1,3,2,5,18,17,0,0,3,2,444,372,3,9,104,110,39,40,,,,,,,H
KEUGkL3D,30.03.2019 15:00,Salernitana,Venezia,1,1,22,6,8,2,14,4,24,19,6,1,0,6,1,7,19,18,0,0,3,2,432,331,0,3,155,77,65,15,,,,,,,D
xWYefqkr,29.03.2019 21:00,Cremonese,Verona,1,1,5,2,4,2,1,0,15,22,5,3,2,1,1,3,20,14,0,0,4,2,331,638,6,0,59,71,63,60,,,,,,,D
tCHxds8d,23.03.2019 18:00,Lecce,Ascoli,7,0,16,7,9,4,7,3,11,12,4,1,2,2,4,2,10,10,0,0,2,1,723,371,19,13,99,73,45,35,,,,,,,H
CSkYv4ke,17.03.2019 21:00,Crotone,Lecce,2,2,9,13,5,5,4,8,21,17,8,2,1,9,3,3,16,12,0,0,1,2,471,455,2,13,132,87,62,34,55%,45%,,,,,D
pEZiaYzA,17.03.2019 15:00,Palermo,AC Carpi,4,1,15,6,12,2,3,4,23,16,7,1,1,1,1,8,14,22,0,2,2,6,453,344,9,15,129,97,52,35,,,,,,,H
YyiUupzk,17.03.2019 15:00,Venezia,Cremonese,1,1,5,10,1,3,4,7,19,19,3,3,1,1,2,0,16,18,0,0,3,0,523,287,4,0,129,109,53,52,,,,,,,D
YwWm0EL3,16.03.2019 18:00,Verona,Ascoli,1,1,9,7,2,4,7,3,16,24,8,3,3,1,3,1,20,14,1,0,3,3,504,343,6,13,123,68,52,26,,,,,,,D
McXO1Rd8,16.03.2019 15:00,Benevento,Spezia,2,3,18,9,9,3,9,6,15,18,10,5,0,1,1,7,18,16,1,0,4,4,443,360,4,8,129,69,51,29,,,,,,,A
SxPdbhjG,16.03.2019 15:00,Foggia,Cittadella,1,1,14,17,5,6,9,11,15,14,5,8,5,0,5,4,9,17,0,0,3,2,442,347,9,13,107,97,51,54,,,,,,,D
8fqswrK7,16.03.2019 15:00,Livorno,Salernitana,1,0,12,24,3,5,9,19,14,24,8,5,6,2,5,2,17,12,0,0,4,2,413,355,13,0,101,108,27,59,,,,,,,H
fiuwvO41,16.03.2019 15:00,Padova,Perugia,0,1,15,11,1,4,14,7,14,14,7,1,0,0,3,1,14,14,0,0,2,5,376,563,12,6,126,112,66,32,,,,,,,A
42nQtQKr,15.03.2019 21:00,Pescara,Cosenza,1,1,8,8,3,2,5,6,16,27,1,5,8,0,1,2,19,16,0,0,4,1,478,452,8,22,117,126,35,47,,,,,,,D
0QXu2zii,11.03.2019 21:00,Venezia,Palermo,1,1,6,8,2,4,4,4,24,16,1,3,1,1,3,1,10,15,0,0,1,1,239,389,8,7,86,118,26,56,,,,,,,D
WA9IpZLG,10.03.2019 21:00,Salernitana,Crotone,0,2,14,5,4,4,10,1,22,21,11,1,6,2,2,4,14,18,0,0,1,2,464,345,8,12,154,79,58,25,,,,,,,A
pIkgvXbp,10.03.2019 15:00,Ascoli,Livorno,1,1,16,8,4,2,12,6,23,20,11,3,2,2,1,3,17,21,0,0,4,4,386,385,8,1,108,115,68,31,,,,,,,D
bqdBnei4,10.03.2019 15:00,Cremonese,Benevento,1,0,7,10,2,0,5,10,15,22,1,3,4,4,0,1,20,13,1,0,4,1,349,412,7,16,119,118,38,43,,,,,,,H
O8lcwiEj,09.03.2019 18:00,Spezia,Padova,0,2,17,10,5,4,12,6,16,11,11,2,1,1,2,5,10,15,0,0,2,3,706,306,15,6,167,97,102,25,,,,,,,A
vHWq1f6c,09.03.2019 15:00,Cittadella,Pescara,4,1,21,10,8,4,13,6,17,18,5,4,0,4,3,4,21,16,0,0,4,3,416,291,5,1,94,97,60,51,,,,,,,H
hKAEoF6A,09.03.2019 15:00,Cosenza,Brescia,2,3,8,12,4,5,4,7,19,19,4,4,2,3,2,2,17,17,0,0,3,1,444,495,3,43,122,120,53,51,,,,,,,A
EZbNqgyN,09.03.2019 15:00,Lecce,Foggia,1,0,14,5,6,1,8,4,21,14,6,3,4,2,1,5,11,19,0,1,2,5,522,481,34,1,114,111,72,27,,,,,,,H
Sx3RrDjT,08.03.2019 21:00,Perugia,Verona,1,2,10,9,3,4,7,5,18,14,5,10,2,0,2,2,11,18,0,0,3,3,440,545,24,10,96,136,45,51,,,,,,,A
IPzxYexB,04.03.2019 21:00,Livorno,Benevento,2,0,9,5,4,3,5,2,23,30,2,7,5,1,3,2,24,22,0,1,1,4,390,379,21,4,99,103,38,43,,,,,,,H
Khc7myxb,03.03.2019 21:00,Verona,Venezia,1,0,14,12,6,2,8,10,13,15,9,2,4,5,2,5,11,8,0,0,2,2,505,360,7,11,115,122,62,30,,,,,,,H
OQ3bkc7o,03.03.2019 15:00,Perugia,Salernitana,3,1,18,14,8,6,10,8,20,20,7,3,1,1,5,5,19,19,1,0,4,4,395,403,8,0,83,138,35,39,,,,,,,H
xU72lHMi,03.03.2019 15:00,Pescara,Spezia,2,0,11,11,3,3,8,8,11,20,4,6,2,0,3,2,16,11,0,1,3,2,447,495,15,5,122,123,41,48,,,,,,,H
ANFGQDUp,02.03.2019 18:00,Palermo,Lecce,2,1,14,26,6,12,8,14,13,15,2,11,0,1,11,4,14,11,0,0,2,3,395,544,14,10,101,129,44,72,,,,,,,H
6kXXYyN4,02.03.2019 15:00,AC Carpi,Ascoli,1,1,13,16,6,3,7,13,19,29,5,3,7,2,2,5,21,17,0,1,2,3,352,440,14,16,121,104,61,34,,,,,,,D
CnztXFiH,02.03.2019 15:00,Brescia,Cittadella,0,1,12,17,3,7,9,10,27,16,2,5,7,0,6,3,8,26,0,0,3,4,478,370,23,16,147,101,61,53,,,,,,,A
8ETlVgMT,02.03.2019 15:00,Padova,Crotone,0,0,13,15,4,2,9,13,20,25,3,7,4,2,2,4,22,17,0,1,2,3,295,514,16,6,95,122,38,52,,,,,,,D
jwZqWZ6N,01.03.2019 21:00,Foggia,Cosenza,1,0,4,11,3,0,1,11,11,19,1,4,6,1,0,2,14,11,0,0,3,2,372,522,11,11,82,126,27,74,,,,,,,H
xAuHxKNu,27.02.2019 21:00,Spezia,Livorno,3,0,14,8,5,3,9,5,17,11,5,9,0,3,3,2,11,16,0,0,2,3,512,485,14,6,132,145,47,59,,,,,,,H
pzqPzbhh,27.02.2019 19:00,Venezia,Perugia,2,3,14,17,4,7,10,10,16,10,4,5,2,1,4,2,9,15,0,0,3,2,477,404,10,19,153,84,85,40,,,,,,,A
bqA6IGxO,26.02.2019 21:00,Ascoli,Foggia,2,2,9,4,3,4,6,0,18,15,3,4,2,1,2,1,13,17,0,0,4,4,298,596,8,9,77,133,42,48,,,,,,,D
QVBbKx8B,26.02.2019 21:00,Cosenza,AC Carpi,1,0,20,14,7,3,13,11,22,22,9,4,4,5,3,6,15,18,0,0,0,3,435,315,12,2,125,130,64,39,,,,,,,H
G0vLyvwn,26.02.2019 21:00,Crotone,Palermo,3,0,11,14,5,7,6,7,28,17,1,8,0,6,7,3,16,25,0,0,1,3,375,484,0,15,102,113,28,45,,,,,,,H
CnEAHzhU,26.02.2019 21:00,Lecce,Verona,2,1,9,15,6,6,3,9,12,15,4,4,2,0,5,4,14,10,0,0,2,2,457,537,14,17,96,127,50,42,,,,,,,H
