id,date,home_team,away_team,home_goals,away_goals,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Ball Possession_home,Ball Possession_away,Throw-ins_home,Throw-ins_away,result
hb7pzgBm,02.04.2018 20:30,Parma,Palermo,3,2,6,9,2,4,4,5,17,16,5,4,2,2,2,0,14,13,0,0,2,5,74,141,0,3,90,128,61,96,42%,58%,,,H
jD35VUPI,02.04.2018 17:30,AC Carpi,Venezia,0,0,13,4,3,1,10,3,14,22,1,4,4,1,1,3,18,14,0,0,2,2,318,565,25,6,100,146,87,99,34%,66%,,,D
IoQOIitD,02.04.2018 15:00,Avellino,Bari,1,2,5,24,3,7,2,17,17,23,4,5,4,4,5,2,19,14,0,0,4,2,262,569,30,24,84,127,68,116,41%,59%,,,A
8QVDuFmQ,02.04.2018 12:30,Foggia,Empoli,0,3,18,13,8,6,10,7,13,15,8,8,2,2,3,8,13,11,0,0,1,1,378,474,5,14,99,106,83,77,50%,50%,,,A
8ARUf6AR,30.03.2018 21:00,Perugia,Cremonese,1,0,14,9,4,4,10,5,22,24,4,2,2,2,4,3,22,20,0,0,3,4,439,301,14,12,113,81,91,54,54%,46%,,,H
EmSQeneL,30.03.2018 19:00,Novara,Cesena,1,0,18,12,7,5,11,7,20,13,9,5,1,3,5,6,12,17,0,0,1,1,460,225,18,12,124,103,107,77,57%,43%,,,H
IsAhAoAE,29.03.2018 20:30,AC Carpi,Ternana,2,1,10,11,4,3,6,8,17,14,0,3,4,2,2,2,10,15,0,0,0,1,377,558,10,9,106,132,72,106,43%,57%,,,H
jVUgkpYl,29.03.2018 20:30,Avellino,Parma,1,2,10,14,4,9,6,5,14,18,2,6,2,0,7,3,16,14,0,0,3,2,352,407,7,12,133,131,76,73,46%,54%,,,A
ULTcl4me,29.03.2018 20:30,Brescia,Pescara,2,1,17,5,11,3,6,2,21,21,10,4,1,1,2,9,20,20,0,0,3,3,414,393,15,16,167,141,119,89,55%,45%,,,H
viBlBRf8,29.03.2018 20:30,Cittadella,Spezia,1,2,17,5,7,3,10,2,19,14,6,7,0,0,1,6,14,19,0,0,0,1,498,295,20,7,105,81,108,70,55%,45%,,,A
xnX5nrI7,29.03.2018 20:30,Empoli,Salernitana,2,0,11,3,6,0,5,3,17,15,4,7,1,3,0,4,14,14,0,0,1,1,574,415,15,12,108,116,67,76,54%,46%,,,H
AJDdjQIr,29.03.2018 20:30,Entella,Palermo,1,2,11,8,6,5,5,3,19,16,6,4,5,2,3,5,11,17,0,0,0,2,466,512,12,12,113,116,92,83,46%,54%,,,A
OrT1mO21,29.03.2018 20:30,Foggia,Pro Vercelli,2,1,13,11,6,4,7,7,22,16,6,2,2,4,3,4,14,18,0,0,1,3,460,302,16,6,142,98,85,65,56%,44%,,,H
nHEd95PK,29.03.2018 20:30,Frosinone,Venezia,2,1,13,6,5,1,8,5,18,18,8,5,3,3,0,3,15,15,0,0,2,1,414,382,6,7,130,88,91,55,54%,46%,,,H
