id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Throw-ins_home,Throw-ins_away,Goal Kicks_home,Goal Kicks_away,result
ILhcCVyo,21.06.2020 18:00,Cremonese,Benevento,0,1,41%,59%,16,8,7,4,9,4,18,17,5,2,2,2,3,7,15,16,2,2,395,517,16,20,109,118,60,32,0,0,,,,,A
86V8UUcT,20.06.2020 20:30,Pordenone,Venezia,0,0,37%,63%,7,16,2,3,5,13,13,12,4,7,1,0,3,2,11,13,4,2,346,593,9,9,84,108,32,63,1,0,,,,,D
QoIzQl6p,20.06.2020 18:00,Cosenza,Entella,2,1,31%,69%,16,19,11,10,5,9,13,25,7,8,0,0,9,9,25,13,3,2,300,578,21,21,68,124,24,58,1,0,,,,,H
WOtuyFEo,20.06.2020 18:00,Crotone,Chievo,1,1,52%,48%,7,16,3,2,4,14,28,14,3,3,2,5,1,2,14,24,3,2,495,466,18,24,83,138,17,61,0,0,,,,,D
rapqzZTi,20.06.2020 18:00,Livorno,Cittadella,0,2,47%,53%,8,17,3,5,5,12,16,9,5,6,2,0,3,3,8,16,0,2,464,524,22,27,124,124,35,60,0,0,,,,,A
YmwdXWDA,20.06.2020 18:00,Pescara,Juve Stabia,3,1,52%,48%,17,7,5,3,12,4,11,14,9,4,2,0,2,2,12,10,2,2,495,456,16,24,114,84,43,36,0,0,,,,,H
f3R4VArN,20.06.2020 18:00,Salernitana,Pisa,1,1,46%,54%,9,15,1,3,8,12,14,26,4,4,3,1,2,0,23,13,5,2,381,452,11,12,95,107,27,46,0,0,,,,,D
4EYiYCb4,20.06.2020 18:00,Trapani,Frosinone,0,0,43%,57%,6,5,0,2,6,3,13,24,4,5,2,1,2,0,24,11,3,2,445,553,14,24,132,112,60,40,0,0,,,,,D
QNZmZhqb,19.06.2020 17:30,Spezia,Empoli,1,0,54%,46%,10,10,4,4,6,6,18,13,2,9,1,3,4,3,12,15,1,1,593,520,6,8,113,90,38,33,0,0,,,,,H
2mPx2lI8,17.06.2020 18:30,Ascoli,Cremonese,1,3,66%,34%,12,14,6,7,6,7,16,17,5,1,2,0,4,5,16,16,3,3,628,323,11,6,165,87,75,21,0,0,,,,,A
4lNcOyVu,09.03.2020 21:00,Chievo,Cosenza,2,0,,,14,12,5,1,9,11,20,20,5,0,2,0,1,3,18,19,3,2,559,477,14,12,112,115,49,18,0,0,,,,,H
CK9EKgU4,08.03.2020 21:00,Benevento,Pescara,4,0,,,19,13,12,8,7,5,8,7,3,6,0,1,8,8,7,7,2,0,555,524,13,9,95,90,35,40,0,0,,,,,H
vRei3haU,08.03.2020 15:00,Entella,Ascoli,3,0,,,20,11,8,5,12,6,17,15,7,3,1,3,5,5,14,14,2,2,523,477,15,15,127,102,50,47,0,0,,,,,H
byCQHiEN,08.03.2020 15:00,Juve Stabia,Spezia,3,1,,,10,16,4,4,6,12,21,12,4,8,2,2,3,1,11,19,3,3,322,594,16,11,67,137,25,60,0,0,,,,,H
UeK9LZEb,07.03.2020 18:00,Pisa,Livorno,1,0,,,16,15,3,3,13,12,24,18,0,1,4,5,3,2,14,19,1,3,362,497,8,11,107,130,39,55,0,0,,,,,H
GC6VGBTT,07.03.2020 15:00,Empoli,Trapani,1,1,,,10,14,4,5,6,9,14,12,6,8,1,1,4,3,11,12,2,2,566,355,1,12,130,85,77,65,0,0,,,,,D
ruM1Nepn,07.03.2020 15:00,Frosinone,Cremonese,0,2,,,10,11,4,6,6,5,16,10,8,5,2,1,4,4,8,15,2,2,722,400,8,7,79,79,76,55,1,0,,,,,A
KpDMIXbH,07.03.2020 15:00,Perugia,Salernitana,1,0,,,13,4,5,3,8,1,23,22,7,4,2,1,3,4,20,23,3,4,341,468,41,15,105,94,90,53,0,0,,,,,H
j5L5MFah,07.03.2020 15:00,Venezia,Crotone,1,3,,,11,10,3,5,8,5,25,15,4,5,4,2,2,2,11,23,1,3,481,672,27,18,63,67,66,68,0,0,,,,,A
