id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,result
8WADgn8j,04.03.2017 14:00,Bursaspor,Gaziantepspor,2,1,49%,51%,9,11,8,5,1,6,19,19,4,4,0,3,30,22,4,6,19,16,3,2,0,0,,,H
vHtDEmpG,03.03.2017 18:00,Trabzonspor,Kardemir Karabuk,1,0,56%,44%,14,8,8,2,6,6,19,18,7,1,3,0,29,19,2,7,15,16,2,2,0,0,,,H
M1XWt9Op,27.02.2017 18:00,Galatasaray,Besiktas,0,1,49%,51%,5,8,3,4,2,4,12,12,3,2,0,2,22,18,3,3,12,10,2,1,0,0,,,A
zJzE5h1o,26.02.2017 17:00,Gaziantepspor,Fenerbahce,1,1,45%,55%,8,16,5,8,3,8,23,21,3,7,3,2,21,28,7,4,18,21,5,2,0,0,,,D
4bSU1A0A,26.02.2017 14:00,Ankaraspor,Basaksehir,0,1,55%,45%,7,4,2,3,5,1,14,18,7,6,1,0,35,30,2,2,18,14,2,2,0,1,,,A
E9ZH4CGi,26.02.2017 11:30,Kardemir Karabuk,Genclerbirligi,1,0,53%,47%,14,8,7,3,7,5,23,19,3,1,1,4,20,24,3,6,18,19,1,5,0,0,,,H
AyTQ2jo4,25.02.2017 17:00,Konyaspor,Trabzonspor,1,1,40%,60%,10,10,7,4,3,6,14,23,7,5,6,1,19,25,3,6,17,13,0,1,0,0,,,D
xUe0nV0N,25.02.2017 14:00,Akhisarspor,Antalyaspor,3,0,50%,50%,9,5,3,3,6,2,14,16,5,4,1,2,31,31,3,0,15,12,1,2,0,0,,,H
Kho5okGT,25.02.2017 13:00,Alanyaspor,Adanaspor AS,4,1,50%,50%,15,7,11,3,4,4,20,21,11,1,4,4,15,11,2,7,17,16,3,4,0,0,,,H
dYOM3WVc,24.02.2017 18:00,Kasimpasa,Bursaspor,4,0,58%,42%,10,6,5,2,5,4,15,8,2,2,3,0,18,20,2,1,5,15,1,2,0,1,,,H
rkRY0UFG,24.02.2017 17:00,Rizespor,Kayserispor,2,4,46%,54%,10,12,3,6,7,6,20,17,5,4,1,5,13,10,2,1,16,15,2,2,1,0,,,A
OQidmBoH,20.02.2017 18:00,Trabzonspor,Alanyaspor,0,0,53%,47%,21,2,10,2,11,0,15,19,5,2,0,1,22,29,2,10,19,14,3,4,0,0,,,D
llcXhFHu,19.02.2017 17:00,Besiktas,Akhisarspor,3,1,58%,42%,11,8,8,4,3,4,21,19,5,5,2,5,11,18,3,5,17,16,1,0,0,0,,,H
