id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Expected Goals (xG)_home,Expected Goals (xG)_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,result
IsfnfDCC,23.04.2023 12:30,Kasimpasa,Konyaspor,1,2,59%,41%,17,13,9,6,5,5,3,2,12,13,9,4,1,0,20,23,4,8,12,12,164,131,111,72,0,0,2,1,1.42,1.95,516,353,417,261,21,19,A
nqgRbybs,22.04.2023 18:00,Umraniyespor,Besiktas,0,2,41%,59%,8,16,2,6,4,6,2,4,21,9,3,9,3,1,23,25,4,2,7,19,82,113,48,68,0,0,0,2,1.19,2.07,367,541,289,454,13,15,A
W2ur8cLl,20.04.2023 19:30,Sivasspor,Trabzonspor,4,1,57%,43%,18,4,10,2,5,2,3,0,10,13,6,1,2,0,22,12,1,6,10,11,116,109,69,48,0,1,1,1,2.64,0.22,540,429,472,348,14,10,H
vZRb4FKD,20.04.2023 16:00,Ankaragucu,Giresunspor,3,1,60%,40%,20,3,6,0,10,2,4,1,12,16,6,2,5,1,32,32,0,3,8,6,111,105,89,54,0,0,1,2,2.22,0.22,463,313,370,219,22,15,H
0rTf5e57,19.04.2023 19:30,Basaksehir,Fenerbahce,1,2,34%,66%,6,20,3,5,2,9,1,6,8,20,5,4,3,2,16,32,3,2,18,6,137,216,70,121,2,0,9,1,1.27,2.01,308,602,218,504,17,18,A
ERUn7Hze,19.04.2023 19:30,Konyaspor,Adana Demirspor,1,2,55%,45%,12,11,2,7,5,4,5,0,12,24,6,3,9,0,25,14,5,1,17,12,132,89,103,56,0,1,3,2,0.79,2.39,470,398,390,326,13,12,A
xA3i5wLD,19.04.2023 19:00,Besiktas,Hatayspor,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,H
MTk8EarL,19.04.2023 16:00,Istanbulspor AS,Antalyaspor,3,3,32%,68%,8,17,6,6,2,5,0,6,12,18,3,5,0,2,17,23,3,3,19,10,70,119,36,69,0,0,8,1,1.57,2.14,275,593,189,521,11,8,D
hITj6yj1,19.04.2023 16:00,Kayserispor,Kasimpasa,0,0,53%,47%,8,8,3,2,4,2,1,4,11,16,3,3,3,0,32,24,2,3,15,10,92,89,57,51,0,1,1,2,1.35,0.81,419,367,318,267,15,10,D
Iayv9w6r,18.04.2023 19:30,Alanyaspor,Galatasaray,1,4,44%,56%,10,19,2,13,3,3,5,3,12,18,6,3,2,1,18,18,9,1,16,12,88,142,45,76,0,0,3,1,1.25,2.55,430,559,355,486,8,11,A
