id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
reQHvykE,04.02.2024 11:30,Pendikspor,Adana Demirspor,2,1,1.25,1.27,40%,60%,16,16,5,6,7,3,4,7,10,22,7,6,2,3,19,23,5,3,20,7,3,1,95,123,35,57,1,0,H
QHjgLnlg,03.02.2024 17:00,Antalyaspor,Fenerbahce,0,2,0.65,1.07,51%,49%,16,14,5,7,7,5,4,2,21,13,6,7,0,4,25,23,5,5,13,17,1,0,101,103,39,55,0,0,A
KMvNIgSf,03.02.2024 17:00,Gaziantep,Kayserispor,1,1,0.70,0.78,47%,53%,12,15,3,4,5,6,4,5,15,12,9,4,2,3,24,29,3,2,10,12,2,4,107,119,37,41,0,0,D
YPrRHDs1,03.02.2024 14:00,Basaksehir,Istanbulspor AS,2,0,2.98,0.37,58%,42%,22,7,9,3,4,2,9,2,10,10,8,3,1,1,19,24,3,7,8,9,1,1,130,92,57,43,0,0,H
nXv2JQI5,03.02.2024 11:30,Rizespor,Konyaspor,0,0,1.05,1.43,48%,52%,24,19,3,6,17,12,4,1,14,9,12,4,0,1,23,24,6,3,9,10,1,1,100,122,58,56,0,0,D
SnrVGXd7,02.02.2024 18:00,Samsunspor,Galatasaray,0,2,1.01,1.62,47%,53%,17,16,5,5,7,7,5,4,8,16,4,4,2,3,27,30,3,5,14,5,2,1,131,113,54,39,0,0,A
8ttbK63a,02.02.2024 15:00,Ankaragucu,Sivasspor,0,0,0.60,0.68,58%,42%,10,9,2,5,4,3,4,1,11,9,7,1,2,1,17,10,5,2,7,10,2,2,139,82,43,31,0,0,D
KKmoN8Jt,02.02.2024 15:00,Hatayspor,Karagumruk,3,1,1.58,1.77,43%,57%,5,18,3,4,0,7,2,7,6,16,4,5,2,0,25,25,3,0,14,7,0,2,51,110,42,58,0,0,H
6edzSc58,29.01.2024 18:00,Galatasaray,Gaziantep,2,1,3.30,0.50,70%,30%,33,6,9,4,12,2,12,0,10,13,13,2,5,0,24,12,3,7,7,10,1,5,146,62,97,29,0,0,H
E19l4fD1,29.01.2024 18:00,Trabzonspor,Kasimpasa,2,3,1.57,1.97,57%,43%,21,15,8,6,7,6,6,3,10,15,7,3,1,0,22,13,3,6,15,11,1,2,102,94,54,46,0,0,A
hh8h3ES7,29.01.2024 15:00,Istanbulspor AS,Samsunspor,1,1,0.82,0.58,51%,49%,9,12,5,3,3,5,1,4,16,18,4,4,3,3,20,30,2,4,15,13,3,1,84,137,39,58,0,0,D
2NkqQyzL,29.01.2024 15:00,Kayserispor,Antalyaspor,1,1,1.53,2.00,51%,49%,15,13,5,3,9,3,1,7,12,15,6,7,2,0,22,28,2,4,13,12,2,1,126,120,42,51,0,0,D
b7jEKFcr,28.01.2024 17:00,Fenerbahce,Ankaragucu,2,1,1.91,0.94,57%,43%,22,4,10,2,8,0,4,2,13,18,9,0,2,0,27,14,1,8,17,13,,,120,84,77,11,0,0,H
xbkIJZCl,28.01.2024 14:00,Karagumruk,Rizespor,4,0,1.68,0.17,41%,59%,17,5,5,3,7,1,5,1,11,14,5,7,1,1,15,17,3,1,13,15,2,2,98,80,35,24,0,0,H
tElmPekR,28.01.2024 14:00,Sivasspor,Besiktas,1,0,0.82,1.01,37%,63%,8,14,4,3,2,7,2,4,11,25,3,10,3,2,19,22,3,3,22,9,6,4,68,132,18,60,0,0,H
Kb0vRHKE,28.01.2024 11:30,Konyaspor,Basaksehir,2,3,0.99,1.65,35%,65%,12,15,3,5,5,5,4,5,14,6,1,4,1,2,22,24,2,1,6,12,3,2,61,107,22,42,0,0,A
IZFu6Grk,27.01.2024 17:00,Adana Demirspor,Hatayspor,0,1,0.99,0.18,62%,38%,13,4,0,2,11,2,2,0,28,16,5,3,4,4,27,19,1,0,12,24,5,4,151,44,60,42,1,0,A
dQEq5zbe,27.01.2024 14:00,Alanyaspor,Pendikspor,1,1,1.46,0.79,53%,47%,8,10,2,3,6,4,0,3,18,12,5,5,3,3,19,21,2,1,9,15,2,1,74,94,45,41,0,0,D
A9j2hcEk,25.01.2024 18:00,Galatasaray,Istanbulspor AS,3,1,2.59,0.37,62%,38%,16,6,4,2,6,3,6,1,20,13,3,2,2,0,14,16,1,1,11,22,2,5,141,60,67,19,0,1,H
