id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Goal Kicks_home,Goal Kicks_away,result
lIroIeNM,01.03.2015 12:00,Gaziantepspor,Kasimpasa,0,2,53%,47%,12,13,3,10,9,3,18,17,5,5,2,2,33,17,8,3,15,17,0,1,3,0,,,A
YkKHCZpp,28.02.2015 18:00,Konyaspor,Fenerbahce,1,1,42%,58%,8,15,5,5,3,10,10,22,4,5,0,2,15,29,4,4,22,6,0,0,5,2,,,D
dOiAIPY2,28.02.2015 15:00,Rizespor,Eskisehirspor,3,0,62%,38%,18,8,6,4,12,4,17,22,9,7,6,4,17,22,4,3,13,11,0,1,2,5,,,H
tGNPADFd,28.02.2015 12:30,Genclerbirligi,Sivasspor,0,0,53%,47%,9,6,3,2,6,4,29,14,9,4,2,2,30,27,2,3,13,27,0,0,0,2,,,D
2POLBg0j,27.02.2015 19:00,Galatasaray,Kayseri Erciyesspor,3,1,60%,40%,23,6,11,4,12,2,20,18,16,6,1,1,13,23,3,8,19,16,0,0,2,3,,,H
UsJnaGGp,23.02.2015 19:00,Fenerbahce,Akhisarspor,1,2,66%,34%,23,11,4,7,19,4,24,21,8,1,3,2,26,15,5,3,17,22,0,0,3,5,,,A
21tZKcw4,22.02.2015 18:00,Eskisehirspor,Besiktas,1,0,30%,70%,13,13,7,4,6,9,17,18,2,8,3,4,19,27,4,6,14,13,0,0,1,5,,,H
roNjbzWj,22.02.2015 15:00,Kasimpasa,Trabzonspor,1,1,49%,51%,12,9,5,3,7,6,16,23,4,1,2,2,17,22,2,4,18,13,0,0,2,2,,,D
zuAxMwOc,22.02.2015 12:00,Balikesirspor,Genclerbirligi,0,1,48%,52%,13,14,6,4,7,10,27,29,9,6,1,3,37,24,3,6,27,24,0,0,6,3,,,A
dlBYMJ8i,22.02.2015 12:00,Mersin,Kardemir Karabuk,2,1,48%,52%,10,16,3,3,7,13,19,19,1,3,2,1,27,26,2,1,18,17,0,0,0,3,,,H
