id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,result
pIX0W1oE,02.03.2018 18:00,Bursaspor,Kayserispor,1,0,51%,49%,8,3,5,0,3,3,24,8,5,1,1,3,27,26,0,4,7,21,0,4,148,124,78,47,0,0,,,H
SMn2B09l,26.02.2018 18:00,Basaksehir,Genclerbirligi,1,1,55%,45%,6,7,4,2,2,5,17,18,7,5,2,4,24,25,1,3,16,13,3,0,98,103,59,53,0,0,,,D
AmHQUlA9,25.02.2018 17:00,Besiktas,Fenerbahce,3,1,60%,40%,15,7,6,6,9,1,24,18,6,1,3,2,27,13,5,3,15,22,3,2,136,97,82,39,0,0,,,H
lWmbCtfr,25.02.2018 14:00,Goztepe,Sivasspor,1,0,47%,53%,6,4,3,3,3,1,20,27,7,1,5,8,22,24,3,2,20,12,5,1,102,111,75,65,0,0,,,H
zmjA9vv1,25.02.2018 11:30,Ankaraspor,Antalyaspor,0,0,55%,45%,6,7,2,1,4,6,23,17,4,5,3,2,27,27,1,2,14,21,3,1,107,81,67,54,0,0,,,D
IBuF8bg7,25.02.2018 11:30,Yeni Malatyaspor,Kardemir Karabuk,3,1,54%,46%,14,10,8,6,6,4,16,9,2,5,2,1,21,12,5,5,7,16,2,4,111,84,61,50,0,0,,,H
GQHMVUf3,24.02.2018 17:00,Alanyaspor,Trabzonspor,1,2,36%,64%,12,8,7,4,5,4,25,18,5,7,0,10,21,25,2,6,18,15,6,4,94,124,55,57,0,0,,,A
ddi6AKOf,24.02.2018 14:00,Kayserispor,Kasimpasa,3,2,64%,36%,12,10,5,2,7,8,7,9,7,2,0,1,40,21,0,2,9,6,2,3,132,76,77,37,0,1,,,H
xzJIWAuc,23.02.2018 18:00,Akhisarspor,Konyaspor,3,0,50%,50%,8,7,5,2,3,5,13,17,0,3,1,1,26,23,2,2,16,12,3,2,100,129,74,73,0,0,,,H
8YZTT8PF,23.02.2018 18:00,Galatasaray,Bursaspor,5,0,59%,41%,14,3,7,0,7,3,16,16,9,0,2,3,18,18,0,2,14,13,1,0,90,57,71,36,0,1,,,H
UTeiGkeG,19.02.2018 18:00,Genclerbirligi,Goztepe,3,0,53%,47%,14,1,10,1,4,0,20,20,2,2,3,1,29,25,1,7,17,19,1,1,110,116,79,54,0,1,,,H
jqp0ETPS,18.02.2018 17:00,Kasimpasa,Galatasaray,2,1,48%,52%,10,10,5,8,5,2,21,16,1,10,2,2,21,21,7,3,14,19,4,3,88,129,56,111,0,0,,,H
