id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,result,Goal Kicks_home,Goal Kicks_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Blocked Shots_home,Blocked Shots_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away
fXC5Xnl6,29.03.2014 12:30,Sivasspor,Gaziantepspor,3,2,51%,49%,20.0,18.0,9.0,7.0,11.0,11.0,18.0,14.0,7.0,6.0,1.0,3.0,17.0,18.0,5.0,6.0,15.0,12.0,2.0,3.0,0,0,H,,,,,,,,,,,,,,
lhLXzMfb,28.03.2014 19:00,Kardemir Karabuk,Besiktas,1,0,45%,55%,10.0,13.0,4.0,3.0,6.0,10.0,15.0,27.0,3.0,5.0,1.0,0.0,16.0,22.0,3.0,3.0,24.0,15.0,3.0,2.0,0,0,H,,,,,,,,,,,,,,
2cGDVQII,28.03.2014 19:00,Kasimpasa,Kayseri Erciyesspor,3,0,52%,48%,18.0,5.0,11.0,2.0,7.0,3.0,22.0,21.0,4.0,2.0,3.0,2.0,21.0,23.0,2.0,8.0,13.0,20.0,4.0,2.0,0,0,H,,,,,,,,,,,,,,
fJXWImZC,24.03.2014 19:00,Gaziantepspor,Fenerbahce,0,3,41%,59%,12.0,17.0,3.0,5.0,9.0,12.0,21.0,14.0,3.0,8.0,0.0,5.0,26.0,10.0,2.0,3.0,14.0,15.0,4.0,1.0,1,0,A,,,,,,,,,,,,,,
0GOMuBtQ,23.03.2014 18:00,Besiktas,Akhisarspor,3,0,60%,40%,16.0,7.0,7.0,3.0,9.0,4.0,24.0,24.0,7.0,2.0,4.0,3.0,16.0,20.0,3.0,4.0,18.0,20.0,1.0,1.0,0,0,H,,,,,,,,,,,,,,
K05gzk4m,23.03.2014 15:00,Kayseri Erciyesspor,Sivasspor,1,1,56%,44%,10.0,9.0,3.0,3.0,7.0,6.0,16.0,15.0,3.0,5.0,0.0,2.0,18.0,19.0,2.0,2.0,14.0,15.0,2.0,3.0,0,0,D,,,,,,,,,,,,,,
CfrSJTJ6,23.03.2014 12:30,Genclerbirligi,Elazigspor,3,1,48%,52%,6.0,14.0,6.0,6.0,0.0,8.0,19.0,25.0,3.0,10.0,2.0,2.0,23.0,30.0,5.0,3.0,21.0,17.0,2.0,3.0,0,0,H,,,,,,,,,,,,,,
Y3qOK940,22.03.2014 18:00,Antalyaspor,Kardemir Karabuk,0,0,49%,51%,8.0,9.0,2.0,3.0,6.0,6.0,28.0,25.0,2.0,5.0,3.0,3.0,16.0,21.0,3.0,2.0,20.0,25.0,0.0,3.0,0,0,D,,,,,,,,,,,,,,
MPPItiRJ,22.03.2014 18:00,Galatasaray,Kayserispor,0,1,50%,50%,20.0,5.0,3.0,2.0,17.0,3.0,26.0,23.0,5.0,1.0,1.0,6.0,26.0,20.0,1.0,3.0,21.0,18.0,4.0,6.0,0,1,A,,,,,,,,,,,,,,
8MyyI7lJ,22.03.2014 15:00,Bursaspor,Konyaspor,1,2,50%,50%,21.0,5.0,5.0,4.0,16.0,1.0,24.0,15.0,6.0,3.0,2.0,5.0,22.0,24.0,2.0,4.0,12.0,17.0,1.0,6.0,0,1,A,,,,,,,,,,,,,,
EN4cZ8Jg,22.03.2014 12:30,Rizespor,Eskisehirspor,0,0,54%,46%,10.0,11.0,2.0,4.0,8.0,7.0,15.0,18.0,9.0,3.0,3.0,0.0,26.0,17.0,4.0,2.0,14.0,15.0,2.0,3.0,0,1,D,,,,,,,,,,,,,,
tA6kyVls,21.03.2014 19:00,Trabzonspor,Kasimpasa,0,0,50%,50%,12.0,11.0,1.0,1.0,11.0,10.0,30.0,23.0,4.0,2.0,5.0,2.0,27.0,27.0,1.0,1.0,16.0,27.0,4.0,2.0,0,1,D,,,,,,,,,,,,,,
pKOp7jz1,17.03.2014 19:00,Kayserispor,Bursaspor,2,0,54%,46%,14.0,18.0,9.0,7.0,5.0,11.0,15.0,26.0,5.0,9.0,4.0,2.0,16.0,15.0,7.0,7.0,21.0,14.0,3.0,4.0,1,1,H,,,,,,,,,,,,,,
fk6yUDsE,16.03.2014 18:00,Fenerbahce,Kayseri Erciyesspor,2,1,50%,50%,21.0,8.0,10.0,3.0,11.0,5.0,18.0,20.0,6.0,5.0,1.0,2.0,20.0,23.0,2.0,8.0,19.0,15.0,3.0,3.0,0,0,H,,,,,,,,,,,,,,
