id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,Blocked Shots_home,Blocked Shots_away,result,Tackles_home,Tackles_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away
Ua0a5dnp,21.09.2020 17:30,Smouha,Al Masry,2,0,46%,54%,16.0,16.0,8.0,4.0,8.0,12.0,5.0,10.0,3.0,4.0,4.0,6.0,1.0,3.0,345.0,422.0,237.0,299.0,111.0,115.0,59.0,95.0,,,,,,,0,0,,,,,H,,,,,,
hv9X9xvT,21.09.2020 15:00,Enppi,El Ismaily,1,0,41%,59%,6.0,11.0,4.0,5.0,2.0,6.0,2.0,6.0,2.0,1.0,5.0,3.0,2.0,2.0,306.0,496.0,191.0,372.0,109.0,129.0,44.0,74.0,,,,,,,0,0,,,,,H,,,,,,
WOKOBb9G,20.09.2020 20:00,Arab Contractors,Al Ittihad,1,1,51%,49%,10.0,10.0,2.0,2.0,8.0,8.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,435.0,370.0,305.0,271.0,67.0,58.0,50.0,37.0,,,,,,,0,0,,,,,D,,,,,,
4YjtCSKd,20.09.2020 17:30,El-Entag El-Harby,El Gouna,2,1,43%,57%,10.0,18.0,3.0,5.0,7.0,13.0,3.0,7.0,1.0,1.0,4.0,1.0,3.0,4.0,288.0,433.0,223.0,341.0,78.0,98.0,54.0,73.0,,,,,,,0,1,,,,,H,,,,,,
2kGKCvfA,19.09.2020 20:00,Al Ahly,Misr Lel Makkasa,0,0,49%,51%,13.0,10.0,2.0,3.0,11.0,7.0,6.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,446.0,419.0,331.0,316.0,90.0,68.0,70.0,43.0,,,,,,,0,1,,,,,D,,,,,,
OMa34G1j,19.09.2020 17:30,Tanta,ZED,0,0,54%,46%,13.0,3.0,5.0,0.0,8.0,3.0,5.0,1.0,4.0,0.0,0.0,5.0,4.0,1.0,,,,,111.0,102.0,85.0,44.0,,,,,,,1,0,,,,,D,,,,,,
AFJSAIOM,18.09.2020 20:00,Aswan SC,Zamalek,1,0,37%,63%,7.0,17.0,3.0,6.0,4.0,11.0,2.0,3.0,2.0,4.0,6.0,2.0,3.0,1.0,240.0,490.0,160.0,365.0,94.0,127.0,37.0,84.0,,,,,,,0,0,,,,,H,,,,,,
GdzQjcXj,18.09.2020 18:00,Haras El Hodood,Enppi,3,2,55%,45%,9.0,6.0,4.0,2.0,5.0,4.0,7.0,4.0,2.0,3.0,0.0,1.0,1.0,0.0,347.0,245.0,244.0,151.0,84.0,74.0,77.0,43.0,,,,,,,0,1,,,,,H,,,,,,
ILfkcafN,17.09.2020 18:00,Al Masry,El Gaish,0,0,45%,55%,6.0,12.0,2.0,4.0,4.0,8.0,3.0,3.0,3.0,1.0,4.0,2.0,0.0,1.0,390.0,342.0,300.0,264.0,104.0,111.0,53.0,55.0,,,,,,,0,0,,,,,D,,,,,,
ObHGDKv4,16.09.2020 20:30,Wadi Degla,Pyramids,0,2,46%,54%,3.0,12.0,2.0,5.0,1.0,7.0,4.0,4.0,3.0,0.0,3.0,2.0,4.0,0.0,370.0,458.0,274.0,360.0,88.0,99.0,59.0,63.0,,,,,,,0,0,,,,,A,,,,,,
UaO7FtAi,16.09.2020 18:00,El Gouna,Smouha,1,2,66%,34%,12.0,10.0,5.0,3.0,7.0,7.0,7.0,1.0,0.0,2.0,1.0,4.0,1.0,1.0,531.0,221.0,434.0,145.0,147.0,87.0,110.0,57.0,,,,,,,1,0,,,,,A,,,,,,
AeisaLPA,15.09.2020 20:30,El Ismaily,Arab Contractors,1,1,51%,49%,10.0,7.0,3.0,2.0,7.0,5.0,5.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,316.0,270.0,156.0,169.0,106.0,104.0,70.0,47.0,,,,,,,0,0,,,,,D,,,,,,
tzSBE0Pc,15.09.2020 18:00,Misr Lel Makkasa,ZED,3,0,56%,44%,6.0,8.0,4.0,1.0,2.0,7.0,4.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,549.0,379.0,436.0,251.0,111.0,108.0,68.0,58.0,,,,,,,0,0,,,,,H,,,,,,
dCggdJ9T,14.09.2020 20:30,Al Ittihad,Al Ahly,0,0,49%,51%,6.0,10.0,3.0,3.0,3.0,7.0,3.0,5.0,2.0,0.0,3.0,3.0,4.0,2.0,338.0,352.0,238.0,255.0,83.0,77.0,64.0,53.0,,,,,,,0,1,,,,,D,,,,,,
x6yMiwIp,14.09.2020 18:00,Aswan SC,Tanta,4,0,56%,44%,10.0,9.0,5.0,2.0,5.0,7.0,1.0,4.0,2.0,4.0,2.0,1.0,2.0,2.0,418.0,330.0,310.0,221.0,105.0,120.0,52.0,70.0,,,,,,,0,0,,,,,H,,,,,,
hIcgkjeg,14.09.2020 15:30,Haras El Hodood,Al Masry,1,2,46%,54%,8.0,11.0,4.0,7.0,4.0,4.0,4.0,8.0,1.0,2.0,5.0,3.0,2.0,0.0,237.0,292.0,151.0,223.0,75.0,93.0,39.0,45.0,,,,,,,0,0,,,,,A,,,,,,
ObeobuuH,13.09.2020 20:00,Zamalek,El-Entag El-Harby,1,0,50%,50%,11.0,11.0,3.0,5.0,8.0,6.0,5.0,7.0,1.0,1.0,5.0,2.0,2.0,0.0,425.0,436.0,331.0,311.0,96.0,102.0,61.0,72.0,,,,,,,0,0,,,,,H,,,,,,
