id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
0xOe0sXC,28.07.2022 18:30,Pharco,El Gaish,0,1,63%,37%,19,8,4,2,11,3,4,3,13,11,7,3,1,2,35,12,1,4,13,15,3,2,410,252,323,146,11,20,116,83,79,30,0,0,A
hCKm2320,27.07.2022 21:00,Misr Lel Makkasa,Al Ahly,0,1,35%,65%,5,12,1,4,2,4,2,4,15,4,3,8,2,0,14,19,3,1,5,16,2,1,303,549,219,464,8,8,82,92,33,71,0,0,A
WdWv4PXm,27.07.2022 18:30,Pyramids,National Bank Egypt,1,0,62%,38%,16,9,5,3,9,3,2,3,11,15,8,8,3,5,17,23,3,4,12,6,2,1,608,363,526,274,16,16,108,93,72,39,0,0,H
AmVr3qmf,27.07.2022 18:30,Smouha,Arab Contractors,1,1,59%,41%,15,15,2,4,7,6,6,5,19,11,3,5,0,4,19,11,3,1,11,17,2,4,425,280,342,195,12,15,124,84,62,47,0,0,D
xMHy55Is,26.07.2022 21:00,Al Ittihad,Enppi,2,1,42%,58%,10,7,5,4,1,1,4,2,10,18,9,0,3,0,25,28,3,3,14,12,2,3,306,437,217,348,16,19,86,113,57,55,1,0,H
hlt5ARfK,26.07.2022 18:30,Al Masry,Eastern Company,1,2,64%,36%,12,10,2,9,9,1,1,0,15,11,5,2,3,3,19,20,7,1,10,14,1,3,440,251,315,139,10,18,127,104,62,38,1,0,A
zDV99oAQ,26.07.2022 18:30,Ghazl El Mahallah,Ceramica Cleopatra,0,0,50%,50%,19,7,5,3,11,2,3,2,16,12,10,4,0,2,19,15,3,5,15,13,1,0,333,358,255,263,18,15,98,104,77,60,0,0,D
vox1B7uE,24.07.2022 21:00,Zamalek,Smouha,2,0,60%,40%,15,4,5,0,3,3,7,1,10,14,12,2,2,1,18,17,0,3,15,9,2,2,461,312,400,243,17,21,91,87,59,37,0,1,H
QslJnO2D,24.07.2022 18:30,Al Ahly,El Gouna,2,0,71%,29%,16,4,4,2,6,2,6,0,10,12,9,0,2,3,25,20,2,2,10,13,1,1,541,223,454,150,12,13,118,80,91,34,0,0,H
nikFm4m7,24.07.2022 18:30,El Ismaily,Pyramids,0,4,40%,60%,13,13,2,5,9,4,2,4,16,14,1,4,3,5,21,14,1,2,14,14,3,2,347,528,275,448,19,16,103,98,47,47,0,0,A
