id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Tackles_home,Tackles_away,Blocked Shots_home,Blocked Shots_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,result
IFBLGDae,19.04.2023 21:15,National Bank Egypt,Haras El Hodood,1,0,49%,51%,8,4,4,2,3,2,11,15,5,7,5,3,30,33,2,3,11,8,1,2,103,134,44,57,0,0,,,1,0,,,,,H
zBdKyFyL,19.04.2023 21:15,Pharco,Ghazl El Mahallah,3,1,52%,48%,16,9,6,2,3,7,21,10,4,4,2,6,16,16,1,3,7,16,2,1,139,107,61,60,0,0,16,20,7,0,397,344,286,227,H
d0NCIZUr,18.04.2023 21:15,Enppi,Aswan SC,2,0,35%,65%,12,18,4,3,4,11,9,11,5,10,0,3,20,30,3,2,11,8,2,5,97,132,37,84,1,2,18,13,4,4,267,493,173,381,H
vPCHHgpk,18.04.2023 21:15,Pyramids,El Daklyeh,2,0,70%,30%,15,2,3,2,7,0,9,12,8,1,1,0,15,14,2,1,13,8,,,130,96,79,33,0,0,9,20,5,0,630,272,538,176,H
QuFTEiU7,17.04.2023 21:15,Smouha,Al Ahly,0,2,37%,63%,10,7,2,5,4,1,13,11,4,2,0,3,29,25,3,2,11,10,2,1,112,129,40,39,0,1,15,20,4,1,300,512,198,385,A
SpgCwy78,17.04.2023 21:15,Zamalek,Arab Contractors,2,2,66%,34%,11,9,3,3,4,2,17,14,6,3,0,1,20,14,1,1,14,18,2,3,128,88,52,37,0,0,12,14,4,4,514,264,435,179,D
QLnr3fVe,15.04.2023 21:15,National Bank Egypt,El Gaish,2,0,44%,56%,8,12,4,3,4,6,12,18,6,9,4,2,24,29,3,2,15,11,2,2,114,138,35,67,0,0,14,6,0,3,373,462,266,360,H
SpXtOe7L,14.04.2023 21:15,Al Ahly,Pharco,3,0,58%,42%,8,16,7,5,1,8,10,8,5,7,5,1,14,17,5,4,6,12,2,1,88,79,51,53,0,0,8,15,0,3,490,344,387,244,H
M7WpNFMR,14.04.2023 21:15,Al Ittihad,Smouha,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,H
rccw4zGk,14.04.2023 21:15,Aswan SC,Pyramids,0,3,46%,54%,7,12,3,3,3,6,9,12,3,5,5,2,35,32,0,3,8,8,0,1,110,96,58,48,0,0,11,13,1,3,364,426,237,296,A
