id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Red Cards_home,Red Cards_away,result
6kHZuki0,01.12.2023 15:00,Enppi,Al Masry,1,2,,,42%,58%,12,10,3,3,8,5,1,2,3,5,1,5,1,2,13,10,1,2,265,525,10,18,106,70,55,27,13,13,13,8,,,,,0,0,A
YyJRsBMm,30.11.2023 18:00,El Gaish,El Gouna,1,1,0.34,0.35,56%,44%,4,12,2,1,2,10,0,1,7,3,4,1,0,1,14,16,2,6,351,188,15,17,125,116,57,48,24,12,11,10,,,,,0,0,D
hQ1Uri7s,30.11.2023 18:00,Pharco,Arab Contractors,1,1,0.32,0.88,52%,48%,11,16,5,3,4,9,2,4,7,2,1,1,2,4,13,18,2,3,309,274,13,11,66,88,41,48,12,12,5,12,,,,,0,0,D
jHF2mXbQ,30.11.2023 15:00,Al Ittihad,ZED,0,0,0.64,0.32,42%,58%,8,3,2,0,6,1,0,2,4,2,5,4,0,2,13,11,1,1,216,429,21,17,62,66,38,33,20,9,10,7,,,,,0,0,D
dfGblDqK,29.11.2023 18:00,Future FC,Zamalek,0,2,0.51,2.09,45%,55%,19,16,4,6,11,6,4,4,6,5,2,3,4,4,6,11,1,0,366,517,20,12,107,170,70,98,18,15,11,6,,,,,0,0,A
tnYBQ9iD,28.11.2023 18:00,Al Ahly,Smouha,0,0,0.64,0.16,61%,39%,16,7,2,2,12,3,2,2,15,1,1,0,2,2,12,16,2,5,529,215,21,15,79,59,84,33,36,7,8,8,,,,,0,0,D
riCfkgUD,28.11.2023 15:00,Pyramids,El Ismaily,2,1,3.23,0.60,63%,37%,25,14,5,5,16,6,4,3,11,3,0,3,4,3,15,9,3,5,528,193,14,9,154,74,130,42,32,9,5,10,,,,,1,1,H
hKMYtpfp,11.11.2023 16:00,El Gouna,Al Ahly,1,1,1.89,0.84,40%,60%,13,17,4,3,7,13,2,1,1,12,1,3,2,3,20,10,4,1,169,427,14,10,117,137,74,113,,,,,,,,,1,0,D
YePJO0nI,08.11.2023 15:00,Ceramica Cleopatra,Al Ahly,1,2,1.12,1.88,40%,60%,23,21,6,8,11,8,6,5,6,9,1,2,6,5,9,17,4,5,187,426,22,17,106,126,83,81,9,26,11,7,,,,,1,0,A
YLU3SVM0,05.11.2023 18:00,Al Masry,National Bank Egypt,0,4,0.66,1.42,60%,40%,18,14,5,7,10,3,3,4,8,1,5,2,3,5,9,18,3,3,521,225,14,12,134,91,92,27,,,,,,,,,0,0,A
fVVaTB7f,05.11.2023 15:00,El Ismaily,El Gaish,2,3,0.65,1.65,60%,40%,18,24,7,5,9,14,2,5,6,4,2,1,2,5,10,7,2,3,452,192,18,27,133,103,68,59,,,,,,,,,0,0,A
2eZ7Rkx7,05.11.2023 15:00,Future FC,Enppi,0,1,0.18,1.36,57%,43%,16,18,2,8,7,8,7,2,5,5,1,0,7,2,7,15,2,3,477,288,11,14,71,57,42,31,,,,,,,,,0,0,A
0WxiVXxr,04.11.2023 18:00,Arab Contractors,Al Ahly,1,2,0.98,0.53,41%,59%,7,13,2,3,4,9,1,1,2,2,0,0,1,1,20,8,3,1,224,452,11,10,82,106,22,42,,,,,,,,,0,0,A
C6teUihl,04.11.2023 18:00,Baladiyat El Mahalla,Pharco,3,2,1.13,3.29,51%,49%,9,26,3,7,1,18,5,1,3,4,3,1,5,0,17,6,3,2,262,258,9,12,69,92,52,59,,,,,,,,,0,0,H
rijPZDUQ,04.11.2023 15:00,El Gouna,El Daklyeh,2,0,1.44,0.12,52%,48%,25,24,12,4,9,10,4,10,5,10,1,2,4,10,19,7,3,1,265,206,22,19,108,92,43,67,,,,,,,,,0,0,H
